"study_id","segment","code_identifiers"
"16251","piperacillin – tazobactam","a"
"16267","ampicillin/sulbactam",""
"1652","amoxicillin +cla","b"
"1652","ticarcillin + cla","d"
"1652","piperacillin + tzb","f"
"16715","sulphonamides",""
"17121","ciprofloxacin;",""
"17169","trimethoprim­sulphamethoxazole",""
"17649","trimethoprim/sulfamethoxazole",""
"1786","piperacillin/tazobactam","l"
"1786","cefazoline","b"
"1786","cefotaxime/clavulanate","f"
"17998","fluoroquinolone",""
"18073","piperacillintazobactam","a"
"18184","moxifl oxacin","f"
"18184","ofl oxacin","g"
"18265","cefotetan/cloxacillin","g"
"18265","piperacillin/tazobactam","a"
"18265","cefotaxime/clavulanic acid","c"
"18265","ceftazidime/clavulanic acid","e"
"18265","cefepime/clavulanic acid","f"
"18418","amoxicillin-clavulanate","b"
"18418","piperacillin-tazobactam","c"
"18438","moxicillin-clavulanate",""
"18469","enterococcus raffinosus",""
"18469","tobramicin",""
"18469","amoxicillin/clavulanate",""
"18469","ampicillin/sulbactam",""
"18469","piperacillin/tazobactam",""
"18470","amoxicillin-clavulanate",""
"18470","piperacillin-tazobactam",""
"18527","acinetobacter  baumannii  osteomyelitis",""
"18674","sulfamethoxazole/trimethoprim",""
"18674","ciprofl oxacin",""
"18674","nitrofurantoi",""
"18674","levofl oxacin",""
"18674","piperacillin/tazobactam",""
"18674","amoxicillin/clavulanate",""
"18674","imipinem",""
"1874","piperacillin/tazobactam,",""
"18818","o rifampic",""
"1887","piperacillin-tazobactam","e"
"19093","ampicillin and sulbactam","b"
"19093","piperacillin and tazobactam","c"
"19267","rif",""
"19607","amoxicillin  clavulanate","b"
"19607","piperacillin  tazobactam","c"
"19609","amoxicillin  clavulanate","b"
"19609","piperacillin  tazobactam","c"
"202","cefalothin","g"
"202","amoxicillin + cla","b"
"202","ticarcillin +cla","d"
"202","piperacillin + taz","f"
"20331","piperacillin-tazobactam","m"
"20332","fosfomycin;","n"
"20332","piperacillin/tazobactam","b"
"20553","amoxicillin/clavulanic acid",""
"20553","trimethoprim/sulfamethoxazole",""
"20841","carbapenem",""
"20841","β-lactams",""
"20899","trimethoprim/sulfamethoxazole","n"
"20899","piperacillin/tazobactam","a"
"20899","ticarcillin/clavulanic acid","b"
"21029","piperacillin/tazobactam","e"
"21083","trimethoprim/ sulfamethoxazole",""
"21083","piperacillin/ tazobactam",""
"21149","amoxicillin þ cla","j"
"21149","piperacillin þ tzb","l"
"21192","daptomycin nonsusceptible",""
"21464","amoxicillin clavulanate",""
"21824","icarcillin","a"
"21824","icarcillin/clavulanic acid","b"
"21824","iperacillin/tazobactam","c"
"22121","tmp/sxt",""
"22703","azithromycin-atovaquone",""
"2302","ticarcillin-clavulanate","b"
"2302","piperacillin-tazobactam","e"
"23039","piperacillin–tazobactam",""
"23248","piperacillin/tazobactam","b"
"23248","ceftazidime/clavulanic acid","d"
"23408","sodium  cefoperazone",""
"23408","sodium imipenem/cliastatin",""
"23491","-tazobactam 256","j"
"23491",", piperacillin-tazobact","b"
"23491","/ml, trimethoprim-sulfametho","d"
"23491","�g/ml, cipro","e"
"23491","���g/ml, le","f"
"23491","����g/ml","g"
"23491","���g/ml","h"
"23491","nt to amik","i"
"2389","amoxicillin-clavulanate","b"
"2418","vancomycin-intermediate",""
"2418","methicillin-",""
"2487","trimethoprim/sulfamethoxazole",""
"2487","-lactams",""
"2628","piperacillin-tazobactam","f"
"2628","amoxicillin-clavulanate","g"
"267","cefalothin",""
"267","trimethoprim/sulfamethoxazole",""
"267","amoxicillin/clavulanic acid","b"
"2963","cloramphenicol","f"
"2963","piperacillin/tazobactam","k"
"2963","tetracyclin","m"
"2963","trimethoprim/sulfamethoxazole","o"
"2963","amoxicillin/clav","a"
"3060","carbapenem",""
"3060","β-lactams",""
"3060","etapenem","d"
"3235","piperacillin/tazobactam","d"
"345","piperacillin-tazobactam","d"
"3596","-lactams",""
"360","ticarcillin/clavulanate",""
"3622","tobramycin ","j"
"3872","amoxicillin/clavulanate","a"
"3872","trimethoprim/sulfamethoxazole","f"
"3882","cefurox",""
"3882","ticarcillin + cla","d"
"404","rimethoprimsulfamethoxazole","a"
"4519","piperacillin-tazobactam","h"
"4519","amoxicillin-clavulanate","b"
"4641","piperacillin-tazobactam","j"
"4642","piperacillin-tazobactam","j"
"4642","ceftazidime-clavulanic acid","k"
"5005","rimethoprim/sufamethoxazole","i"
"5005","amoxicillin/clavulanic acid","b"
"5183","third generation cephalosporins",""
"5251","rimethoprim/sulfamethoxazole",""
"5449","trimethoprim/sulfamethoxazole",""
"5449","fosfomycin.",""
"5451","ampicillin/sulbactam","a"
"5774","sulfamethoxazole-trimetoprim",""
"591","piperacillin-tazobactam","c"
"592","piperacillin-tazobactam","c"
"6314","moxicillin-clavulanic acid","b"
"6350","ampicillin/ sulbactam","b"
"6350","amoxicillin/clavulanic acid","c"
"6350","piperacillin/tazobactam","h"
"6375","piperacillin-tazobactam","o"
"6375","amoxicillin-clavulanate","b"
"6467","ticarcillin/clavulanic acid","b"
"6467","imipeneme","e"
"6467","meropeneme","f"
"6492","piperacillin/tazobactam","b"
"6492","ticarcillin/clavulanic acid","c"
"6655","all drugs",""
"6655","k. pneumoniae",""
"6737","entamicin",""
"6737","proxeti",""
"6737","flomoxef sodium",""
"7108","amoxicillin/clavulanate","b"
"7108","piperacillin/tazobactam","c"
"7369","carbapenem",""
"7494","b-lactams",""
"7494","fosfomycin i.v.",""
"7585","ampicillin .","a"
"7585","amoxicillin/ clavulanate","b"
"7585","ampicillin/ sulbactam","c"
"7585","piperacillin/ tazobactam","d"
"7620","piperacillin-tazobactam","c"
"7945","cefoperazone-sulbactam",""
"8089","amoxicillin-clavulanate","b"
"8089","ticarcilin-clavulanate","c"
"8089","piperacillin-tazobactam","e"
"8174","phenicol",""
"8174","sulphonamide",""
"8174","trimethopri",""
"8181","amoxicillin/clavulate","b"
"8181","piperacillin/tazobactam","d"
"8515","streptomycinb","b"
"8515","ceftiofurb","f"
"8591","cefoperazone/sulbactam","d"
"8591","trimethoprim/sulfamethoxazole","o"
"8591","ampicillin/sulbactam","b"
"8862","sulphonamide",""
"8950","piperacillin-tazobactam","d"
"9","ciprofl oxacin",""
"9010","piperacillin/tazobactam","d"
"9010","trimethoprim/sulfamethoxazole","p"
"9045","ampicillin/sulbactam",""
"9045","piperacillin– tazobactam",""
"9081","pipercillin/tazobactam",""
"9126","carbapenem",""
"9628","piperacillin-tazobactam",""
"9669","trimethoprim/sulfamethoxazole","e"
"9727","levofl oxacin",""
"9727","moxifl oxacin",""
"9727","trimethoprim/sulfamethoxazole",""
"9989","ticarcillin–clavulanic acid","d"
"9989","tazobactam–piperacillin","f"
"11303","amoxicillin/clavulinic acid","aa"
"11303","amoxicillin/clavulinic acid","bb"
"11303","amoxicillin/clavulinic acid","f"
