"study_id","segment","code_identifiers","code_main","aro_accession","aro_description","aro_name","mesh_class_id","mesh_definitions","mesh_segment_class","mesh_name"
"10083","levofloxacin","H","Drug Resisted","ARO:0000071","Levofloxacin is a synthetic chemotherapeutic antibiotic of the fluoroquinolone drug class. Its main target is topoisomerase IV, inhibiting its function and disrupting DNA replication.","levofloxacin","http://purl.bioontology.org/ontology/mesh/d064704","the l-isomer of ofloxacin.","Preferred Label","levofloxacin"
"10083","moxifloxacin","I","Drug Resisted","ARO:0000074","Moxifloxacin is a fourth generation synthetic fluoroquinolone chemotherapeutic agent, and has been shown to be significantly more active than levofloxacin (4 to 8 times more) against Streptococcus pneumoniae. It acts by inhibiting bacterial DNA topoisomerases.","moxifloxacin","http://purl.bioontology.org/ontology/mesh/c104727",NA,"Preferred Label","moxifloxacin"
"10083","gatifloxacin","J","Drug Resisted","ARO:3000659","Gatifloxacin is an 8-methoxy, 7-piperazinyl, 6-fluoroquinolone that can be taken orally or by intravenous administration. It is active against most Gram-positive and Gram-negative bacteria, but inactive against non-fermenting Gram-negative rods including Pseudomonas aeruginosa.","gatifloxacin","http://purl.bioontology.org/ontology/mesh/c078049",NA,"Preferred Label","gatifloxacin"
"10209","gentamicin","E","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/d005839","a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.","Synonyms","gentamicins"
"10209","tobramycin","F","Drug Resisted","ARO:0000052","Tobramycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Tobramycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.","tobramycin","http://purl.bioontology.org/ontology/mesh/d014031","an aminoglycoside, broad-spectrum antibiotic produced by streptomyces tenebrarius. it is effective against gram-negative bacteria, especially the pseudomonas species. it is a 10% component of the antibiotic complex, nebramycin, produced by the same species.","Preferred Label","tobramycin"
"10209","ampicillin","A","Drug Resisted","ARO:3000637","Ampicillin is a penicillin derivative that is highly acid stable, with its activity similar to benzylpenicillin.","ampicillin","http://purl.bioontology.org/ontology/mesh/d000667","semi-synthetic derivative of penicillin that functions as an orally active broad-spectrum antibiotic.","Preferred Label","ampicillin"
"10209","ampicillin/clav","B","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10209","ceftazidime","C","Drug Resisted","ARO:0000060","Ceftazidime is a third-generation cephalosporin antibiotic. Like other third-generation cephalosporins, it has broad spectrum activity against Gram-positive and Gram-negative bacteria. Unlike most third-generation agents, it is active against Pseudomonas aeruginosa, however it has weaker activity against Gram-positive microorganisms and is not used for such infections.","ceftazidime","http://purl.bioontology.org/ontology/mesh/d002442","semisynthetic, broad-spectrum antibacterial derived from cephaloridine and used especially for pseudomonas and other gram-negative infections in debilitated patients.","Preferred Label","ceftazidime"
"10209","ceftazidime/clav","D","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10221","aztreonam","A","Drug Resisted","ARO:3000550","Aztreonam was the first monobactam discovered, and is greatly effective against Gram-negative bacteria while inactive against Gram-positive bacteria. Artreonam is a poor substrate for beta-lactamases, and may even act as an inhibitor. In Gram-negative bacteria, Aztreonam interferes with filamentation, inhibiting cell division and leading to cell death.","aztreonam","http://purl.bioontology.org/ontology/mesh/d001398","a monocyclic beta-lactam antibiotic originally isolated from chromobacterium violaceum. it is resistant to beta-lactamases and is used in gram-negative infections, especially of the meninges, bladder, and kidneys. it may cause a superinfection with gram-positive organisms.","Preferred Label","aztreonam"
"10221","imipenem","D","Drug Resisted","ARO:3000170","Imipenem is a broad-spectrum antibiotic and is usually taken with cilastatin, which prevents hydrolysis of imipenem by renal dehydropeptidase-I. It is resistant to hydrolysis by most other beta-lactamases. Notable exceptions are the KPC beta-lactamases and Ambler Class B enzymes.","imipenem","http://purl.bioontology.org/ontology/mesh/d015378","semisynthetic thienamycin that has a wide spectrum of antibacterial activity against gram-negative and gram-positive aerobic and anaerobic bacteria, including many multiresistant strains. it is stable to beta-lactamases. clinical studies have demonstrated high efficacy in the treatment of infections of various body systems. its effectiveness is enhanced when it is administered in combination with cilastatin, a renal dipeptidase inhibitor.","Preferred Label","imipenem"
"10221","clavulanic acid","B","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/d019818","clavulanic acid and its salts and esters. the acid is a suicide inhibitor of bacterial beta-lactamase enzymes from streptomyces clavuligerus. administered alone, it has only weak antibacterial activity against most organisms, but given in combination with other beta-lactam antibiotics it prevents antibiotic inactivation by microbial lactamase.","Preferred Label","clavulanic acid"
"10221","tazobactam","C","Drug Resisted","ARO:0000077","Tazobactam is a compound which inhibits the action of bacterial beta-lactamases.","tazobactam","http://purl.bioontology.org/ontology/mesh/c043265",NA,"Preferred Label","tazobactam"
"10246","rifampicin","","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/d012293","a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)","Synonyms","rifampin"
"10246","isoniazid","","Drug Resisted","ARO:3000520","Isoniazid is an organic compound that is the first-line anti tuberculosis medication in prevention and treatment. As a prodrug, it is activated by mycobacterial catalase-peroxidases such as M. tuberculosis KatG. Isoniazid inhibits mycolic acid synthesis, which prevents cell wall synthesis in mycobacteria.","isoniazid","http://purl.bioontology.org/ontology/mesh/d007538","antibacterial agent used primarily as a tuberculostatic. it remains the treatment of choice for tuberculosis.","Preferred Label","isoniazid"
"10248","ciprofloxacin","","Drug Resisted","ARO:0000036","Ciprofloxacin is a bacteriocidal fluoroquinolone. It blocks bacterial DNA replication by binding to the toposiomerase II or IV-DNA complex (or cleavable complex), thereby causing double-stranded breaks in the bacterial chromosome.","ciprofloxacin","http://purl.bioontology.org/ontology/mesh/d002939","a broad-spectrum antimicrobial carboxyfluoroquinoline.","Preferred Label","ciprofloxacin"
"10248","gentamicin","","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/d005839","a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.","Synonyms","gentamicins"
"10248","tobramycin","","Drug Resisted","ARO:0000052","Tobramycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Tobramycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.","tobramycin","http://purl.bioontology.org/ontology/mesh/d014031","an aminoglycoside, broad-spectrum antibiotic produced by streptomyces tenebrarius. it is effective against gram-negative bacteria, especially the pseudomonas species. it is a 10% component of the antibiotic complex, nebramycin, produced by the same species.","Preferred Label","tobramycin"
"10248","amikacin","","Drug Resisted","ARO:0000013","Amikacin is an aminoglycoside antibiotic that works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.","amikacin","http://purl.bioontology.org/ontology/mesh/d000583","a broad-spectrum antibiotic derived from kanamycin. it is reno- and oto-toxic like the other aminoglycoside antibiotics.","Preferred Label","amikacin"
"10259","tetracycline","B","Drug Resisted","ARO:0000051","Tetracycline is a broad-spectrum polyketide antibiotic produced by many Streptomyces. It works by inhibiting action of the prokaryotic 30S ribosome.","tetracycline","http://purl.bioontology.org/ontology/mesh/d013752","a naphthacene antibiotic that inhibits amino acyl trna binding during protein synthesis.","Preferred Label","tetracycline"
"10259","azithromycin","A","Drug Resisted","ARO:3000158","Azithromycin is a 15-membered macrolide and falls under the subclass of azalide. Like other macrolides, azithromycin binds bacterial ribosomes to inhibit protein synthesis. The nitrogen substitution at the C-9a position prevents its degradation.","azithromycin","http://purl.bioontology.org/ontology/mesh/d017963","a semi-synthetic macrolide antibiotic structurally related to erythromycin. it has been used in the treatment of mycobacterium avium intracellulare infections, toxoplasmosis, and cryptosporidiosis.","Preferred Label","azithromycin"
"10260","azithromycin","","Drug Resisted","ARO:3000158","Azithromycin is a 15-membered macrolide and falls under the subclass of azalide. Like other macrolides, azithromycin binds bacterial ribosomes to inhibit protein synthesis. The nitrogen substitution at the C-9a position prevents its degradation.","azithromycin","http://purl.bioontology.org/ontology/mesh/d017963","a semi-synthetic macrolide antibiotic structurally related to erythromycin. it has been used in the treatment of mycobacterium avium intracellulare infections, toxoplasmosis, and cryptosporidiosis.","Preferred Label","azithromycin"
"10260","tetracycline","B","Drug Resisted","ARO:0000051","Tetracycline is a broad-spectrum polyketide antibiotic produced by many Streptomyces. It works by inhibiting action of the prokaryotic 30S ribosome.","tetracycline","http://purl.bioontology.org/ontology/mesh/d013752","a naphthacene antibiotic that inhibits amino acyl trna binding during protein synthesis.","Preferred Label","tetracycline"
"10300","pipc","A","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10300","cfpm","B","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10300","czop","C","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/c070918",NA,"Synonyms","cefozopran"
"10300","azt","D","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10300","gm","E","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10300","tob","F","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10300","amk","G","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10323","amoxicillin/clavulanic acid","A","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10323","meropenem","","Drug Resisted","ARO:0000073","Meropenem is an ultra-broad spectrum injectable antibiotic used to treat a wide variety of infections, including meningitis and pneumonia. It is a beta-lactam and belongs to the subgroup of carbapenem, similar to imipenem and ertapenem.","meropenem","http://purl.bioontology.org/ontology/mesh/c059500",NA,"Preferred Label","meropenem"
"10323","all ß-lactam antibiotic","","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10443","trimethoprim/sulfamethoxazole","G","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10443","piperacillin/tazobactam","I","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10443","cefepime","J","Drug Resisted","ARO:0000059","Cefepime (INN) is a fourth-generation cephalosporin antibiotic developed in 1994. It contains an aminothiazolyl group that decreases its affinity with beta-lactamases. Cefepime shows high binding affinity with penicillin-binding proteins and has an extended spectrum of activity against Gram-positive and Gram-negative bacteria, with greater activity against both Gram-negative and Gram-positive organisms than third-generation agents.","cefepime","http://purl.bioontology.org/ontology/mesh/c043266",NA,"Preferred Label","cefepime"
"10443","cefoperazone/sulbactam","K","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10443",": ceftazidime","M","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10443","ceftriaxone","L","Drug Resisted","ARO:0000062","Ceftriaxone is a third-generation cephalosporin antibiotic. The presence of an aminothiazolyl sidechain increases ceftriazone's resistance to beta-lactamases. Like other third-generation cephalosporins, it has broad spectrum activity against Gram-positive and Gram-negative bacteria.","ceftriaxone","http://purl.bioontology.org/ontology/mesh/d002443","a broad-spectrum cephalosporin antibiotic with a very long half-life and high penetrability to meninges, eyes and inner ears.","Preferred Label","ceftriaxone"
"10443","amikacin","A","Drug Resisted","ARO:0000013","Amikacin is an aminoglycoside antibiotic that works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.","amikacin","http://purl.bioontology.org/ontology/mesh/d000583","a broad-spectrum antibiotic derived from kanamycin. it is reno- and oto-toxic like the other aminoglycoside antibiotics.","Preferred Label","amikacin"
"10443","ticarcillin","B","Drug Resisted","ARO:3003832","Ticarcillin is a carboxypenicillin used for the treatment of Gram-negative bacteria, particularly P. aeruginosa. Ticarcillin's antibiotic properties arise from its ability to prevent cross-linking of peptidoglycan during cell wall synthesis, when the bacteria try to divide, causing cell death.","ticarcillin","http://purl.bioontology.org/ontology/mesh/d013982","an antibiotic derived from penicillin similar to carbenicillin in action.","Preferred Label","ticarcillin"
"10443","gentamicin","C","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/d005839","a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.","Synonyms","gentamicins"
"10443","tobramycin","D","Drug Resisted","ARO:0000052","Tobramycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Tobramycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.","tobramycin","http://purl.bioontology.org/ontology/mesh/d014031","an aminoglycoside, broad-spectrum antibiotic produced by streptomyces tenebrarius. it is effective against gram-negative bacteria, especially the pseudomonas species. it is a 10% component of the antibiotic complex, nebramycin, produced by the same species.","Preferred Label","tobramycin"
"10443","moxifloxacin","F","Drug Resisted","ARO:0000074","Moxifloxacin is a fourth generation synthetic fluoroquinolone chemotherapeutic agent, and has been shown to be significantly more active than levofloxacin (4 to 8 times more) against Streptococcus pneumoniae. It acts by inhibiting bacterial DNA topoisomerases.","moxifloxacin","http://purl.bioontology.org/ontology/mesh/c104727",NA,"Preferred Label","moxifloxacin"
"10443","levofloxacin","E","Drug Resisted","ARO:0000071","Levofloxacin is a synthetic chemotherapeutic antibiotic of the fluoroquinolone drug class. Its main target is topoisomerase IV, inhibiting its function and disrupting DNA replication.","levofloxacin","http://purl.bioontology.org/ontology/mesh/d064704","the l-isomer of ofloxacin.","Preferred Label","levofloxacin"
