study_id,include,author_year,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,round1inc,round1rev,round2inc,round2rev,reviewers,ft_rev,downloaded,csv_name,reason,notes,mex_name,in_codes_db,article_type

juan, c

mulet, x

zamorano, l

alberti, s

perez, j l

oliver, a

journal article

research support, non-u.s. gov't

united states

antimicrob agents chemother. 2009 dec;53(12):5288-90. doi: 10.1128/aac.00822-09. epub 2009 sep 21.",10.1128/aac.00822-09,9/23/09,eng,19770278,maybe,brooke,maybe,zach,zach,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
9898,yes,jue2010,article,NA,S Jue and R Hardee and M Overman and E Mays and A Bowen and J Whichard and K Greene and G Pecic and E Taylor,"0149-2195
1545-861x",Morbidity and Mortality Weekly Report,"China,Shigella flexneri,United States,adoption,antibiotic resistance,antiinfective agent,article,case report,drug effect,female,human,isolation and purification,male,multidrug resistance,preschool child,shigellosis",1619,"{Notes from the field: Emergence of Shigella flexneri 2a resistant to Ceftriaxone and Ciprofloxacin --- South Carolina, October 2010}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l360231876 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=01492195{\&}id=doi:{\&}atitle=notes+from+the+field{\%}3a+emergence+of+shigella+flexneri+2a+resistant+to+ceftriaxone+an,59,2010,49,NA,NA,NA,NA,NA,no,cale,maybe,mushtaq,allison,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
10069,maybe,kandasamy2013,article,"LEARNING OBJECTIVE 1: Emphasize Nocardia pseudobrasiliensis as an emerging pathogen causing disseminated infections in immunocompromised host. LEARNING OBJECTIVE 2: Recognize the importance of differentiating N. pseudobrasiliensis from N. brasiliensis and choosing appropriate antimicrobials. CASE: A 79 year old Caucasian male was admitted with multiple abscesses in the lower extremities. Patient had a history of left hand abscess for the past 1 year. Lower extremity abscesses started 6 months ago and were progressively getting worse with increasing pain. He received several courses of antibiotics with moderate relief. His past medical history was significant for Myasthenia Gravis, on prednisone therapy for the last 2 years. Vital signs were stable. On examination, patient had multiple tender swellings in the both lower extremities. Laboratory data was significant only for leucocytosis. Patient was started empirically on vancomycin and piperacillin-tazobactam. Magnetic resonance imaging (MRI) of the lower extremities showed multifocal complex lesions and fluid within the muscle bed without any evidence of osteomyelitis. Largest lesion measured approximately 10ÌÑ8 cm in the left biceps femoris muscle complex. Ultrasound guided drainage of large abscesses was done. The organism was identified presumptively as Actinomyces based on gram stain and colonial morphology. Vancomycin and piperacillin-tazobactam were discontinued and he was then started on ampicillin. Cultures later revealed the organism to be Nocardia. Genetic analyzer confirmed the species as Nocardia pseudobrasiliensis which was resistant to penicillin, cephalosporins, trimethoprime-sulfomethoxazole and sensitive to moxifloxacin and linezolid. CT chest and MRI brain did not show any disseminated abscesses. Patient was started on moxifloxacin and remarkable improvement was noted. DISCUSSION: Nocardia pseudobrasiliensis is an emerging species of Nocardia, first identified in 1996. Only few cases have been reported so far. This case emphasizes the difficulties in diagnosing Nocardia infection which may lead to inappropriate antimicrobial therapy. The distinction between Actinomyces and Nocardia species is of extreme clinical importance. On gram stain, Nocardia and Actinomyces species are morphologically indistinguishable. Nocardia species can be identified by modified acid-fast staining and their ability to grow under aerobic conditions, neither of which is a characteristic of Actinomyces. Nocardia infections range from localized cutaneous infections to invasive and disseminated disease. Nocardia brasiliensis is one of the most common species isolated in Nocardiosis. A recent study demonstrated that 60 {\%} of apparent N. brasiliensis associated with pulmonary or disseminated disease, belonged to a new taxonomy named N. pseudobrasiliensis. Because of these associations and a different susceptibility pattern, it is prudent to recommend screening of all N. brasiliensis isolates to rule out possible N. pseudobrasiliensis. Disk-diffusion method for ciprofloxacin susceptibility provides a rapid screening test, as 95 {\%} of N. pseudobrasiliensis strains are susceptible compared with none of N. brasiliensis strains. In a study of 43 cases of N. pseudobrasiliensis, 70 {\%} involved the lung, 23 {\%} involved the CNS, and 37 {\%} had disseminated disease. The majority of patients were receiving corticosteroids (74 {\%}) or had AIDS (14 {\%}). Isolates of N. pseudobrasiliensis, unlike isolates of N. brasiliensis, are strongly associated with invasive disease.",V V Kandasamy and A Kaja and K M Abouelezz and M Tadros,0884-8734,Journal of General Internal Medicine,"Actinomyces,Caucasian,Gram staining,Nocardia,Nocardia brasiliensis,abscess,acid,acquired immune deficiency syndrome,ampicillin,antibiotic agent,antiinfective agent,antimicrobial therapy,biceps brachii muscle,brain,central nervous system,cephalosporin derivative,ciprofloxacin,corticosteroid,disk diffusion,examination,genetic analyzer,hand,human,immunocompromised patient,infection,internal medicine,laboratory,leg,leukocytosis,linezolid,liquid,lung,male,medical history,morphology,moxifloxacin,muscle,myasthenia gravis,nocardiosis,nuclear magnetic resonance imaging,organisms,osteomyelitis,pain,pathogenesis,patient,penicillin derivative,piperacillin plus tazobactam,prednisone,screening,screening test,skin infection,society,species,staining,sulfamethoxazole,swelling,taxonomy,therapy,thorax,trimethoprim,ultrasound,vancomycin,vital sign",s265--s266,{A case of multidrug resistant nocardia pseudobrasiliensis},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l71293217 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=08848734{\&}id=doi:{\&}atitle=a+case+of+multidrug+resistant+nocardia+pseudobrasiliensis{\&}stitle=j.+gen.+intern.+med.{\&},28,2013,NA,NA,NA,NA,NA,NA,maybe,brooke,maybe,erica,erica,zach_4,no,zm_4.csv,could not find full-text,NA,NA,no,journal
10079,maybe,kanerva2015,article,"In Finland, occurrence of Klebsiella pneumoniae carbapenemase-producing K. pneumoniae (KPC-KP) has previously been sporadic and related to travel. We describe the first outbreak of colonisation with KPC-KP strain ST512; it affected nine patients in a 137-bed primary care hospital. The index case was detected by chance when a non-prescribed urine culture was taken from an asymptomatic patient with suprapubic urinary catheter in June 2013. Thereafter, all patients on the 38-bed ward were screened until two screening rounds were negative and extensive control measures were performed. Eight additional KPC-KP-carriers were found, and the highest prevalence of carriers on the ward was nine of 38. All other patients hospitalised on the outbreak ward between 1 May and 10 June and 101 former roommates of KPC-KP carriers since January had negative screening results. Two screening rounds on the hospital's other wards were negative. No link to travel abroad was detected. Compared with non-carriers, but without statistical significance, KPC-KP carriers were older (83 vs 76 years) and had more often received antimicrobial treatment within the three months before screening (9/9 vs 90/133). No clinical infections occurred during the six-month follow-up. Early detection, prompt control measures and repetitive screening were crucial in controlling the outbreak.",M Kanerva and K Skogberg and K RyynÌ_nen and A PahkamÌ_ki and J Jalava and J Ollgren and E Tarkka and O LyytikÌ_inen,"1560-7917

1025-496x",Eurosurveillance,"Klebsiella pneumoniae,Klebsiella pneumoniae infection,aged,alcohol,amikacin,antibiotic sensitivity,antimicrobial therapy,article,bacterium detection,biological accident,carbapenemase producing Klebsiella pneumoniae,cephalosporin,ciprofloxacin,clinical article,colistin,controlled study,cotetroxazine,dementia,disease control,feces analysis,female,follow up,fosfomycin,gentamicin,human,male,mecillinam,microbial colonization,nitrofurantoin,nonhuman,polyacrylamide gel electrophoresis,prevalence,primary health care,rifampicin,risk factor,suprapubic catheter,tigecycline,tobramycin,trimethoprim,urinary tract obstruction",1--7,"{Coincidental detection of the first outbreak of carbapenemase-producing klebsiella pneumonia colonisation in a primary care hospital, Finland, 2013}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l605214087 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=15607917{\&}id=doi:{\&}atitle=coincidental+detection+of+the+first+outbreak+of+carbapenemase-producing+klebsiella+pn,20,2015,26,NA,NA,NA,NA,NA,yes,brooke,no,mushtaq,zach,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
10181,yes,karczewski2014,article,"Urinary tract infections (UTIs) are the most frequent infections among kidney transplant (KT) patients. This case documents the emergence of New Delhi metallo-beta-lactamase (NDM-1) Klebsiella pneumonia--a factor of recurrent post-KT UTI, leading to graft loss. Spreading globally, and multidrug resistant, NDM-1 may become a great threat to transplant patients all over the world.",M Karczewski and H Tomczak and I Piechocka-Idasiak and L Cichanska and Z Adamska and M Stronka,"1873-2623

0041-1345",Transplantation Proceedings,",*Drug Resistance,*beta-Lactamases,Anti-Bacterial Agents/therapeutic use,Bacterial,C reactive protein,Enterococcus faecium,Humans,Klebsiella Infections/*drug therapy,Klebsiella pneumoniae infection,Klebsiella pneumoniae/*enzymology,Male,Microbial Sensitivity Tests,Middle Aged,Multiple,New Delhi metallo beta lactamase Klebsiella pneumo,Transplant Recipients,Urinary Tract Infections/*drug therapy/*microbiolo,abdominal pain,adult,amoxicillin plus clavulanic acid,antibiotic therapy,article,bradycardia,case report,catheter removal,clarithromycin,colistin,consciousness disorder,cotrimoxazole,coughing,crackle,creatinine,diuresis,double J stent,dyspnea,fatigue,graft recipient,hemodialysis,human,hydronephrosis,imipenem,immunosuppressive treatment,kidney transplantation,linezolid,male,middle aged,pallor,postoperative infection,procalcitonin,rapidly progressive glomerulonephritis,sinus bradycardia,tacrolimus,tigecycline,ureteroneocystostomy,urinary tract infection,urine volume",2409--2410,{Is multiresistant Klebsiella pneumoniae New Delhi metallo-beta-lactamase (NDM-1) a new threat for kidney transplant recipients?},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l600247149 http://dx.doi.org/10.1016/j.transproceed.2014.06.050 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=18732623{\&}id=doi:10.1016{\%}2fj.transproceed.2014.06.050{\&}ati,46,2014,7,"from duplicate 1 (is multiresistant klebsiella pneumoniae new delhi metallo-beta-lactamase (ndm-1) a new threat for kidney transplant recipients? - karczewski, m; tomczak, h; piechocka-idasiak, i; cichanska, l; adamska, z; stronka, m)



1873-2623

karczewski, m

tomczak, h

piechocka-idasiak, i

cichanska, l

adamska, z

stronka, m

case reports

journal article

united states

transplant proc. 2014 sep;46(7):2409-10. doi: 10.1016/j.transproceed.2014.06.050.",10.1016/j.transproceed.2014.06.050,9/23/14,eng,25242796,maybe,jake,no,mushtaq,zach,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
10300,maybe,kawamura2011,article,"An 11-year-old girl with metastatic neuroblastoma developed recurrent bacteremia during sustained neutropenia after autologous peripheral blood transplantation. All febrile episodes of bacteremia were caused by single Delftia acidovorans strain revealed by ERIC-PCR. This strain became resistant to broad-spectrum penicillins and cephalosporins through antibiotic treatments. Removal of the indwelling vascular catheter resulted in resolution of the infection. So far as we know, this is the first report of vascular catheter-related D. acidovorans bacteremia in Japan. {\textcopyright} 2010 Japanese Society of Chemotherapy and The Japanese Association for Infectious Diseases.",I Kawamura and T Yagi and K Hatakeyama and T Ohkura and K Ohkusu and Y Takahashi and S Kojima and Y Hasegawa,1341-321x,J Infect Chemother,",16S/analysis,Achromobacter xylosoxidans,Anti-Bacterial Agents/pharmacology/therapeutic use,Bacteremia/drug therapy/*microbiology,Bacterial,Bacterial/analysis,Catheter-Related Infections/drug therapy/*microbio,Catheters,Child,DNA,Delftia acidovorans,Delftia acidovorans/*drug effects/genetics/isolati,Drug Resistance,Female,Gram-Negative Bacterial Infections/drug therapy/*m,Humans,Indwelling/*microbiology,Japan,Microbial Sensitivity Tests,Neuroblastoma/*microbiology,Opportunistic Infections/drug therapy/microbiology,Peripheral Blood Stem Cell Transplantation,Polymerase Chain Reaction,RNA,Ribosomal,aminoglycoside antibiotic agent,antibiotic sensitivity,antibiotic therapy,article,autologous peripheral blood stem cell transplantat,bacteremia,beta-Lactams/pharmacology/therapeutic use,blood culture,carbapenem derivative,case report,catheter infection,catheter removal,cefepime,cefozopran,cefpirome,ceftazidime,central venous catheter,cephalosporin derivative,child,ciprofloxacin,controlled study,cotrimoxazole,drug substitution,drug withdrawal,female,fever,human,minocycline,neuroblastoma,nonhuman,panipenem plus betamipron,penicillin derivative,piperacillin,polymerase chain reaction,recurrent infection,school child",111--113,{Recurrent vascular catheter-related bacteremia caused by Delftia acidovorans with different antimicrobial susceptibility profiles},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l50991632 http://dx.doi.org/10.1007/s10156-010-0089-x http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=1341321x{\&}id=doi:10.1007{\%}2fs10156-010-0089-x{\&}atitle=recurrent+vascu,17,2011,1,"from duplicate 2 (recurrent vascular catheter-related bacteremia caused by delftia acidovorans with different antimicrobial susceptibility profiles - kawamura, i; yagi, t; hatakeyama, k; ohkura, t; ohkusu, k; takahashi, y; kojima, s; hasegawa, y)

1437-7780
kawamura, ichiro
yagi, tetsuya
hatakeyama, kazuhito
ohkura, teruko
ohkusu, kiyofumi
takahashi, yoshiyuki
kojima, seiji
hasegawa, yoshinori
case reports
journal article
netherlands
j infect chemother. 2011 feb;17(1):111-3. doi: 10.1007/s10156-010-0089-x. epub 2010 jul 14.",10.1007/s10156-010-0089-x,7/16/10,eng,20628778,maybe,cale,maybe,mushtaq,mushtaq,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
10569,maybe,kiernan2009,article,"PURPOSE: To report a case of daily wear soft contact lens-associated keratitis caused by Alcaligenes xylosoxidans in a portable toilet sanitation worker. METHODS: A previously healthy 30-year-old man presented with bilateral decreased vision, redness, and irritation, beginning 1 week earlier. The patient had been treated with moxifloxocin for 1 week before presentation without improvement. Bacterial staining cultures were performed from corneal scrapings, contact lenses, contact lens case, and solution. Preliminary culture results and antibiotic sensitivities were generated using an automated identification system. Positive results from the contact lens, case, and solution were confirmed using polymerase chain reaction (PCR). RESULTS: The contact lenses, contact lens case, and solution cultures revealed heavy growth of A. xylosoxidans. These findings were confirmed by PCR. The organism was found to be resistant to aminoglycosides, fluoroquinolones, and cephalosporins. The patient was started on polymyxin B or trimethoprim. After 21 days of treatment, the infection completely resolved with a final spectacle-corrected visual acuity of 20/25. CONCLUSIONS: To our knowledge, this is the first case report of a corneal infection caused by A. xylosoxidans, which was isolated and identified from a contact lens, case, and solution using culture and PCR technique as well the first description of ocular surface disease resolution after the treatment with topical polymyxin B or trimethoprim. A. xylosoxidans should be considered as uncommon but potential pathogen capable of infectious spread through contaminated contact lens solution. {\textcopyright} 2009 Lippincott Williams {\&} Wilkins, Inc.",D F Kiernan and E K Chin and L A Sclafani and M A Saidel,1542-2321,Eye Contact Lens,",*Drug Resistance,*Eye Infections,*Gram-Negative Bacterial Infections/drug therapy,*Occupational Diseases,*Sanitation,Achromobacter denitrificans/drug effects/isolation,Achromobacter xylosoxidans,Administration,Adult,Aminoglycosides/pharmacology,Anti-Bacterial Agents/administration {\&} dosage,Bacterial,Bacterial/drug therapy,Cephalosporins/pharmacology,Contact Lens Solutions,Contact Lenses/microbiology,Equipment Contamination,Fluoroquinolones/pharmacology,Humans,Keratitis/*microbiology,Male,Microbial Sensitivity Tests,Multiple,Polymyxins/administration {\&} dosage,Toilet Facilities,Topical,Treatment Outcome,Trimethoprim/administration {\&} dosage,adult,aminoglycoside antibiotic agent,anamnesis,antiinfective agent,article,bacterium identification,case report,cephalosporin derivative,clinical feature,contact lens,drug sensitivity,eye pain,human,keratitis,male,moxifloxacin,moxifloxicin,natamycin,polymerase chain reaction,polymyxin B,priority journal,quinoline derived antiinfective agent,trimethoprim,unclassified drug,vigamox,visual acuity",212--214,{Multiple drug-resistant Alcaligenes xylosoxidans keratitis in a sanitation worker},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l355108703 http://dx.doi.org/10.1097/icl.0b013e3181aac4fd http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=15422321{\&}id=doi:10.1097{\%}2ficl.0b013e3181aac4fd{\&}atitle=multiple,35,2009,4,"from duplicate 1 (multiple drug-resistant alcaligenes xylosoxidans keratitis in a sanitation worker - kiernan, d f; chin, e k; sclafani, l a; saidel, m a)



1542-233x

kiernan, daniel f

chin, eric k

sclafani, louise a

saidel, michael a

case reports

journal article

research support, non-u.s. gov't

united states

eye contact lens. 2009 jul;35(4):212-4. doi: 10.1097/icl.0b013e3181aac4fd.",10.1097/icl.0b013e3181aac4fd,6/12/09,eng,19516143,yes,brooke,maybe,zach,zach,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
10654,yes,kim2012i,article,NA,S J Kim,"0002-9394

1879-1891",American Journal of Ophthalmology,"antibiotic agent,antibiotic resistance,antibiotic therapy,azithromycin,drug exposure,drug use,gatifloxacin,human,letter,moxifloxacin,ofloxacin,patient compliance,priority journal,proxymetacaine,study design,subretinal neovascularization,treatment outcome",1011,{Antibiotic use and antimicrobial resistance},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l364631572 http://dx.doi.org/10.1016/j.ajo.2012.02.015 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=00029394{\&}id=doi:10.1016{\%}2fj.ajo.2012.02.015{\&}atitle=antibiotic+use,153,2012,5,NA,NA,NA,NA,NA,maybe,erica,yes,nchedo,nchedo,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
10691,yes,kimura2016,article,"Background: Numbers of patients with diabetic gangrene is increasing. Antimicrobial treatment is commonly used, however, limb amputation cannot be avoided in severe cases. For prophylaxis at operation, basic antimicrobial agents such as cefazolin are often administrated, however, severe infection could occur if resistant strains were cultured especially in immunosuppressive patients such as diabetes. The purpose of this study is to clarify bacterial species and their susceptibility to antimicrobial agents for patients of diabetic foot gangrene. Methods{\&}Materials: Twenty-four patients (nine females)who had amputation on their legs for treating diabetic gangrene were enrolled from year 2002 to 2012. Among them, fifteen patients had diabetic history for over ten years, eleven patients were having repetitive hemodialysis. Their ages were 40-81(mean 67), average hospitalization period were 81.6 days. Results: As results, fifty-seven strains were isolated. Among them, 62{\%} strains were Gram-positive cocci, 33{\%} were Gramnegative rods, 5{\%} were Gram-positive rods. Two or more strains were detected in fifteen patients. Indigenous bacteria of skin such as MSSA were most commonly cultured (n = 10). MRSA was found only in one patient. Sixty-seven percent of Peptostreptococci (n = 7), and seventy-five percent of E.coli (n = 4) were resistant to new quinolones. All Enterococci (n = 6) were susceptible to penicillin. Seventy percent of operated patients had no complications and discharged normally. Others had re-operation, including two cases dead due to heart disease. Most commonly used antimicrobial agents for prophylaxis were cefazolin (n = 8). However, sixty percent of all operated cases had resistant bacterial strain against cefazolin. Conclusion: We conclude that in order to avoid inappropriate anti-microbial therapy, it is important to confirm antimicrobial susceptibility with bacterial culture before operation. Use of cefazolin as the first choice prophylaxis antimicrobials should be re-considered for diabetic gangrene amputation.",S I Kimura and H Yamaguchi and A Takuma and E Fukuoka and S Fukuoka and A Minemura and K Suzuki and T Soga and T Ebara and M Nakamura,1201-9712,International Journal of Infectious Diseases,"Enterococcus,Escherichia coli,Gram positive asporogenous rod-shaped bacteria,Gram positive cocci,Japanese (people),amputation,antibiotic sensitivity,antiinfective agent,antimicrobial therapy,bacterial strain,bacterium,bacterium culture,cefazolin,diabetes mellitus,diabetic foot,female,gangrene,heart disease,hemodialysis,hospitalization,human,infection,leg,limb amputation,methicillin resistant Staphylococcus aureus,methicillin susceptible Staphylococcus aureus,patient,penicillin derivative,prophylaxis,quinolone derivative,skin,species,therapy,university hospital,wound",98,"{Bacterial species and antimicrobial susceptibility of wound culture, obtained from diabetic gangrene patients who went limb amputation at a Japanese university hospital}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l72245210 http://dx.doi.org/10.1016/j.ijid.2016.02.257 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=12019712{\&}id=doi:10.1016{\%}2fj.ijid.2016.02.257{\&}atitle=bacterial+spe,45,2016,NA,NA,NA,NA,NA,NA,yes,allison,yes,nchedo,nchedo,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
10699,yes,kino2014,article,"A 77-year-old Japanese man with a history of surgical treatment of chronic subdural hemorrhage was hospitalized for drainage of a subdural abscess and brain abscess in the right occipital area. Pus obtained from both the subdural abscess and brain abscess grew vancomycin-intermediate Staphylococcus aureus (VISA) (minimum inhibitory concentration = 4 mug/mL), which was confirmed by population analysis. The SCCmec type and sequence type were subsequently identified as IV and ST8, respectively. The VISA strains were both sensitive to levofloxacin, clindamycin, minocycline, and linezolid. The patient was successfully treated with linezolid and discharged on day 51 after admission. We herein describe the first reported case of a brain abscess and subdural abscess caused by VISA in Japan.",H Kino and H Suzuki and T Yamaguchi and S Notake and T Oishi and Y Ito and K Nakamura and H Miyazaki and T Matsumoto and K Uemura and A Matsumura,1341-321x,J Infect Chemother,"Aged,Anti-Bacterial Agents/*therapeutic use,Brain abscess,Central Nervous System Infections/drug therapy/*mi,Humans,Male,Staphylococcal Infections/*complications/drug ther,Staphylococcus aureus/*classification/drug effects,Subdural abscess,Vancomycin Resistance,Vancomycin-intermediate Staphylococcus aureus",643--646,"{Central nervous system infection caused by vancomycin-intermediate Staphylococcus aureus (SCCmec type IV, ST8)}",NA,20,2014,10,"1437-7780
kino, hiroyoshi
suzuki, hiromichi
yamaguchi, tetsuo
notake, shigeyuki
oishi, tsuyoshi
ito, yoshiro
nakamura, kazuhiro
miyazaki, haruko
matsumoto, tetsuya
uemura, kazuya
matsumura, akira
case reports
journal article
netherlands
j infect chemother. 2014 oct;20(10):643-6. doi: 10.1016/j.jiac.2014.06.008. epub 2014 jul 7.",10.1016/j.jiac.2014.06.008,7/12/14,eng,25012468,maybe,allison,yes,ayomide,ayomide,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
10703,maybe,kiratisin2008,article,"Extended-spectrum beta-lactamase (ESBL)-producing Escherichia coli and Klebsiella pneumoniae have rapidly spread worldwide and pose a serious threat for health care-associated (HA) infection. We conducted molecular detection and characterization of ESBL-related bla genes, including bla(TEM), bla(SHV), bla(CTX-M), bla(VEB), bla(OXA), bla(PER), and bla(GES), among 362 isolates of ESBL-producing E. coli (n = 235) and ESBL-producing K. pneumoniae (n = 127) collected from patients who met the definition of HA infection at two major university hospitals in Thailand from December 2004 to May 2005. The prevalence of ESBL-producing E. coli and ESBL-producing K. pneumoniae, patient demographics and the susceptibilities of these bacteria to various antimicrobial agents were described. A total of 87.3{\%} of isolates carried several bla genes. The prevalence of bla(CTX-M) was strikingly high: 99.6{\%} for ESBL-producing E. coli (CTX-M-14, -15, -27, -40, and -55) and 99.2{\%} for ESBL-producing K. pneumoniae (CTX-M-3, -14, -15, -27, and -55). ISEcp1 was found in the upstream region of bla(CTX-M) in most isolates. Up to 77.0{\%} and 71.7{\%} of ESBL-producing E. coli and ESBL-producing K. pneumoniae, respectively, carried bla(TEM); all of them encoded TEM-1. ESBL-producing K. pneumoniae carried bla(SHV) at 87.4{\%} (SHV-1, -2a, -11, -12, -27, -71, and -75) but only at 3.8{\%} for ESBL-producing E. coli (SHV-11 and -12). bla genes encoding VEB-1 and OXA-10 were found in both ESBL-producing E. coli (8.5{\%} and 8.1{\%}, respectively) and ESBL-producing K. pneumoniae (10.2{\%} and 11.8{\%}, respectively). None of the isolates were positive for bla(PER) and bla(GES). Pulsed-field gel electrophoresis analysis demonstrated that there was no major clonal relationship among these ESBL producers. This is the first study to report CTX-M-3, CTX-M-27, CTX-M-40, SHV-27, SHV-71, and SHV-75 in Thailand and to show that CTX-M ESBL is highly endemic in the country.",P Kiratisin and A Apisarnthanarak and C Laesripa and P Saifon,0066-4804,Antimicrob Agents Chemother,"Adult,Bacterial Proteins/*genetics/metabolism,DNA, Bacterial/chemistry/genetics,Drug Resistance, Multiple, Bacterial/genetics,Electrophoresis, Gel, Pulsed-Field,Endemic Diseases,Escherichia coli Infections/drug therapy/epidemiol,Escherichia coli/enzymology/*genetics/isolation {\&},Female,Humans,Klebsiella Infections/drug therapy/epidemiology/mi,Klebsiella pneumoniae/enzymology/*genetics/isolati,Male,Middle Aged,Polymerase Chain Reaction,Sequence Analysis, DNA,Thailand/epidemiology,beta-Lactamases/*genetics/metabolism",2818--2824,"{Molecular characterization and epidemiology of extended-spectrum-beta-lactamase-producing Escherichia coli and Klebsiella pneumoniae isolates causing health care-associated infection in Thailand, where the CTX-M family is endemic}",NA,52,2008,8,"1098-6596

kiratisin, pattarachai

apisarnthanarak, anucha

laesripa, chaitat

saifon, piyawan

journal article

research support, non-u.s. gov't

united states

antimicrob agents chemother. 2008 aug;52(8):2818-24. doi: 10.1128/aac.00171-08. epub 2008 may 27.",10.1128/aac.00171-08,5/29/08,eng,18505851,no,cale,yes,mushtaq,zach,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
10743,yes,kitao2012,article,"The emergence of multidrug-resistant (MDR) Pseudomonas aeruginosa isolates producing IMP-type metallo-beta-lactamases (MBLs) and aminoglycoside 6'-N-acetyltransferase [AAC(6')-Iae] has become a serious problem in medical settings in Japan. A total of 217 MDR P. aeruginosa isolates were obtained from August 2009 to April 2010 from patients at 144 hospitals in Japan, of which 145 (66.8{\%}) were positive for IMP-type MBLs and AAC(6')-Iae when tested with an immunochromatographic assay. Polymerase chain reaction (PCR) showed that these isolates were also positive for blaIMP and aac(6')-Iae genes. When these IMP-type MBL- and AAC(6')-Iae-producing isolates were analysed by pulsed-field gel electrophoresis (PFGE), two clusters (I and II) were detected. Most of the isolates (88.3{\%}; 128/145) were grouped under cluster I and had multilocus sequence type ST235 and serotype O11, except for one isolate that was ST991 and serotype O3. The isolates were mainly isolated from the urinary tract (82/145; 56.6{\%}) and respiratory tract (58/145; 40.0{\%}). The epidemiological properties of the isolates belonging to cluster I were similar to those of MDR P. aeruginosa isolates that have been previously reported in Japan. The remaining 16 isolates belonged to cluster II, had identical PFGE patterns and were multilocus sequence type ST991 and serotype O18; all of these isolates were isolated from the respiratory tract. The properties of isolates belonging to cluster II have not been previously described, indicating that a novel IMP-type MBL- and AAC(6')-Iae producing P. aeruginosa strain is emerging in Japan. Isolates belonging to both clusters were isolated from different parts of the country.",T Kitao and T Tada and M Tanaka and K Narahara and M Shimojima and K Shimada and T Miyoshi-Akiyama and T Kirikae,0924-8579,Int J Antimicrob Agents,"*Drug Resistance, Multiple, Bacterial,Acetyltransferases/*biosynthesis/genetics,Anti-Bacterial Agents/pharmacology,Cross Infection/*epidemiology/microbiology,DNA, Bacterial/genetics,Electrophoresis, Gel, Pulsed-Field,Humans,Japan/epidemiology,Microbial Sensitivity Tests,Multilocus Sequence Typing,Polymerase Chain Reaction,Pseudomonas Infections/*epidemiology/microbiology,Pseudomonas aeruginosa/*drug effects/enzymology/ge,beta-Lactamases/*biosynthesis/genetics",518--521,{Emergence of a novel multidrug-resistant Pseudomonas aeruginosa strain producing IMP-type metallo-beta-lactamases and AAC(6')-Iae in Japan},NA,39,2012,6,"1872-7913

kitao, tomoe

tada, tatsuya

tanaka, masashi

narahara, kenji

shimojima, masahiro

shimada, kayo

miyoshi-akiyama, tohru

kirikae, teruo

journal article

research support, non-u.s. gov't

netherlands

