study_id,segment,code_main_cat,code_main,code_identifiers
1363,54,patient,age,NA
1363,sweats,patient,symptoms/disease,NA
1363,vancomycin,NA,drug resisted,NA
1363,resistant,exclusion, not first case in country,NA
1363,b,exclusion, not first case in country,NA
1363,woman,patient,sex,NA
1363,jordanian,patient,country of residence,NA
1363,breast cancer,patient,comorbidities,NA
1363,well,patient,outcome,NA
1363,december,NA,event month,NA
1363,2012,NA,event year,NA
1363,fever,patient,symptoms/disease,NA
1363,chills,patient,symptoms/disease,NA
13651,ciprofl oxacin-,exclusion,review article,NA
13653,introducción,exclusion,not clinical case in human patient,NA
13675,correspondence,exclusion, not full text article,NA
13711,correspondence,exclusion, not full text article,NA
13718,correspondence,exclusion, not full text article,NA
13726,introducti,exclusion,not clinical case in human patient,NA
13736,correspondenc,exclusion, not full text article,NA
13743,first report of staphylococcal clinical isolates,NA,first surveillance study (of a particular resistance) in countr,NA
13743,t,exclusion,not clinical case in human patient,NA
13745,esistance surv,exclusion,review article,NA
13748,dispatches,exclusion, not full text article,NA
13800,editorial,exclusion, not full text article,NA
13802,letters,exclusion, not full text article,NA
13835,letters to the editor,exclusion, not full text article,NA
13873,research notes,exclusion, not full text article,NA
13898,o,exclusion, no resistance or did not name antibiotic/antibiotic,NA
13922,probable intrafamily transmission of a highly virulent,exclusion, not full text article,NA
14002,two hundred fifty-seven nalidixic acid-resistant enterobacterial isolates were collected in a brazilian community from january 2000 to may 2005 to determine the prevalence of plasmid-encoded extended-spectrum β-lactamases.,exclusion, not first case in country,NA
1405,the purpose of this investigation was to describe the first documented carbapenem-resistant klebsiella pneumoniae (crkp) outbreak in a tertiary care facility in saudi arabia.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
1406,po st er pr e s en ta tion,exclusion, not full text article,NA
14062,emerging,exclusion,not clinical case in human patient,NA
14062,emerging,exclusion,not clinical case in human patient,NA
14087,"this case is being reported for its unique presentation as  acute fulminant hepatitis and also to sensitize clinicians about  the growing problem of quinolone resistant s. typhi – in this  case due to dual mutations, which is being increasingly reported  from several parts of the country",exclusion, not first case in country,NA
14100,34,patient,age,NA
14100,woman,patient,sex,NA
14100,discoid lupus erythematosus,patient,comorbidities,NA
14100,february,NA,event month,NA
14100,2008,NA,event year,NA
14100,successful treatment,exclusion, not first case in country,NA
14105,"to our knowledge, this is the first case of mrsa keratitis, and the second case of bacterial keratitis, after dsaek.",exclusion, no resistance or did not name antibiotic/antibiotic,NA
1411,ur study was undertaken as a continuation of our earlier study during 2001 2006.the aim of this study was to monitor  changes in shigella serogroups and resistance patterns to antimicrobials among  shigella isolates.,exclusion, not first case in country,NA
14115,"although the first isolate, ndm-1, was identified in japan in 2010, ndm-producing bacteria have only been isolated from seven patients to date, and no other variant of ndm producing organism has been reported yet.",exclusion, not first case in country,NA
1412,"the isolates were mostly susceptible to antibiotics except salmonella ser kentucky, which showed resistance to ciprofloxacin is reported for the first time in the country.",exclusion,not clinical case in human patient,NA
14137,"it was found  to be strain usa300, subtype 0047 (fig. 3b), which  is the second-most-common pattern in the united states.",exclusion, not first case in country,NA
14139,healthcare-assoc,exclusion,not clinical case in human patient,NA
14191,letter to the editor,exclusion, not full text article,NA
14199,table 1. characteristics of s. enterica serotype gambia strains,exclusion, not first case in country,NA
14199,this is the first report of s. gambia exhibiting ctx-m-3 and arma markers involved in serious infections,exclusion, not first case in country,NA
14234,successful use of infliximab for treating fistulizing pouchitis with severe extraintestinal manifestation: a case repor,exclusion,not clinical case in human patient,NA
14267,letter to the editor,exclusion, not full text article,NA
14274,"although vim-producing enterobacteriaceae isolates were initially recognized by their in vitro resistance to carbapenems (22), this strain displays mics for carbapenems below the current resistant breakpoints (ertapenem, 1 g/ml; imipenem, 4 g/ml; and meropenem, 4 g/ml)",exclusion, not first case in country,NA
14275,"n colombia, dissemination of a. baumannii clones harboring blaoxa-23 was reported in 2005 (21); since then, surveillance of carbapenem-resistanta. baumannii in the hospitals of the colombian nosocomial resistance study group network has shown oxa-23 and oxa-51 as the only carbapenemases detected. we now document the first case in the country of oxa-72, identified in an a. pittii isolate.",exclusion, not first case in country,NA
14278,"loodstream infections caused  by carbapenemase-producing klebsiella pneumoniae (cpkp) are typically associated  with a mortality rate of 13% to 58%, and few therapeutic options are available.16,17",exclusion, not first case in country,NA
14311,"we identified the etiologies of community-acquired bacterial meningitis in korean adults and the associated epidemiological factors. a retrospective, multicenter nationwide study was carried out.",exclusion, not first case in country,NA
14330,klebsiella pneumoniae invasive liver abscess syndrome is now emerging in europe and notably is not restricted to individuals of asian descent.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
14373,the recent increasing rate of isolating them from human clinical samples warrants clinicians awareness due to treatment challenges posed by their antimicrobial resistance profiles,exclusion, not first case in country,NA
14397,novel,exclusion, not first case in country,NA
14397,outbreak,exclusion, not first case in country,NA
14500,outbreak of a nove,exclusion,not clinical case in human patient,NA
14509,neonatal septicaemia: prevalence and antimicrobial susceptibility patterns of common pathogens at p,exclusion,review article,NA
