,links,title
719,www.promedmail.org/post/2662451,Campylobacteriosis - Iceland
893,www.promedmail.org/post/1827916,"Campylobacteriosis - India, Canada: drug resistance"
963,www.promedmail.org/post/2443247,"Campylobacteriosis - USA (02): (NV) race participants, 2012"
1085,www.promedmail.org/post/2044022,"Campylobacteriosis - USA (12): 2012, uncooked chicken livers"
830,www.promedmail.org/post/430570,"Campylobacteriosis, unpasteurized milk - USA (02): (UT)"
733,www.promedmail.org/post/293702,"Campylobacteriosis, unpasteurized milk - USA (02): (WI)"
746,www.promedmail.org/post/402643,"Campylobacteriosis, unpasteurized milk - USA: (MI ex IN)"
446,www.promedmail.org/post/760516,"Campylobacteriosis, unpasteurized milk - USA: (WI)"
560,www.promedmail.org/post/2193066,Chlamydia pneumoniae &amp; stroke or cardiac disease (04)
760,www.promedmail.org/post/2202143,Chloramphenicol in honey - USA (Louisiana): Alert
767,www.promedmail.org/post/563796,Cholera - Haiti (05): (AR)
911,www.promedmail.org/post/1911344,"Cholera, diarrhea &amp; dysentery update (40):Italy ex Cuba, Dominican Rep"
194,www.promedmail.org/post/2073201,"Cholera, diarrhea &amp; dysentery update (64): Americas"
661,www.promedmail.org/post/10285,"Cholera, diarrhea &amp; dysentery update 2007 (20)"
334,www.promedmail.org/post/10286,"Cholera, diarrhea &amp; dysentery update 2007 (20) (Shigellosis, Missouri)"
677,www.promedmail.org/post/30429,"Cholera, diarrhea &amp; dysentery update 2007 (43)"
252,www.promedmail.org/post/113373,"Cholera, diarrhea &amp; dysentery update 2008 (37)"
773,www.promedmail.org/post/115992,"Cholera, diarrhea &amp; dysentery update 2008 (38)"
462,www.promedmail.org/post/132591,"Cholera, diarrhea &amp; dysentery update 2008 (49)"
717,www.promedmail.org/post/140723,"Cholera, diarrhea &amp; dysentery update 2008 (56)"
741,www.promedmail.org/post/337807,"Cholera, diarrhea &amp; dysentery update 2009 (30)"
742,www.promedmail.org/post/373493,"Chytrid fungus, frogs - worldwide: review article"
716,www.promedmail.org/post/133986,Clostridium difficile - Germany
473,www.promedmail.org/post/1586131,Clostridium difficile - Guatemala: (Guatemala City) nosocomial
695,www.promedmail.org/post/63027,"Clostridium difficile - UK: (England, Wales)"
872,www.promedmail.org/post/1445682,"Clostridium difficile - worldwide: fluoroquinolone resistance, 027"
637,www.promedmail.org/post/2206684,"Clostridium difficile, increased virulence - USA"
1094,www.promedmail.org/post/2208982,"Clostridium difficile, increased virulence - USA (multistate)"
1160,www.promedmail.org/post/9997,"Clostridium difficile, ribotype 027, 2005-2006 - UK (England), Ireland"
1184,www.promedmail.org/post/560364,"Coral reef disease, link to human Serratia strains"
606,www.promedmail.org/post/2202064,"Coral reef kills, human waste suspected - Caribbean"
575,www.promedmail.org/post/2196415,"Drug resistance, Pneumococcus - Canada (02)"
1088,www.promedmail.org/post/2202226,"E. coli infection, perinatal - USA"
783,www.promedmail.org/post/731675,"E. coli O104 - EU (02): (Germany, EU ex Germany) alert"
785,www.promedmail.org/post/740427,"E. coli O104 - EU (08) &amp; USA: genetic analysis, more cases"
566,www.promedmail.org/post/742808,E. coli O104 - EU (10): USA commentary
798,www.promedmail.org/post/754762,"E. coli O104 - EU (18): case update, antimicrobial use"
799,www.promedmail.org/post/756552,"E. coli O104 - EU (19): case update, organism description"
668,www.promedmail.org/post/2208568,E. coli O157 - USA (HI): alert
1157,www.promedmail.org/post/482787,E. coli ST131 - USA: emerging drug-resistant pathogen worldwide
683,www.promedmail.org/post/35617,"E. coli, ESBL - UK"
822,www.promedmail.org/post/2195957,"E. coli, VTEC, open farm - UK (Wales)"
573,www.promedmail.org/post/2196016,"E. coli, VTEC, open farm - UK (Wales) (02)"
245,www.promedmail.org/post/2190478,E.coli: super bug or mere sensation (04)
954,www.promedmail.org/post/2882849,Ebola virus disease - West Africa (194): bat immunity clue
882,www.promedmail.org/post/1572873,"Enterobacteriaceae, drug resistant - USA"
713,www.promedmail.org/post/2191998,Foodborne diseases review
880,www.promedmail.org/post/3022856,"Gonococcal disease - New Zealand: antibiotic resistance, new treatment guideline"
996,www.promedmail.org/post/1780579,"Gonococcal disease - Sweden: increased cases, antibiotic resistance"
976,www.promedmail.org/post/2653134,"Gonococcal disease - Sweden: pharynx, treatment failure, 2013-2014"
809,www.promedmail.org/post/1565249,"Gonococcal disease - UK: increased cases, antibiotic resistance"
870,www.promedmail.org/post/1443412,Gonococcal disease - USA: (ME) increased incidence
430,www.promedmail.org/post/2382582,"Gonococcal disease - USA: increased ciprofloxacin resistance, disease incidence"
594,www.promedmail.org/post/2201762,"Gonorrhea, multidrug resistant - USA (CA, HI)"
891,www.promedmail.org/post/2201876,"Gram negative bacilli, ESBL - UK (Scotland)"
256,www.promedmail.org/post/1047007,"Gram negative bacilli, MDR - Brazil: (SC) KPC, nosocomial"
837,www.promedmail.org/post/1074688,"Gram negative bacilli, MDR - Chile: ex Italy, KPC, nosocomial"
812,www.promedmail.org/post/803485,"Gram negative bacilli, multidrug resistance - Panama, Netherlands"
731,www.promedmail.org/post/902850,"Gram negative bacilli, multidrug resistance - Spain"
177,www.promedmail.org/post/877367,"Gram negative bacilli, multidrug resistance, nosocomial - Canada: (QC)"
485,www.promedmail.org/post/564795,"Gram negative bacilli, resistant, update (01): NDM-1, KPC"
977,www.promedmail.org/post/2686499,Haemophilus influenzae - Taiwan: increasing fluoroquinolone resistance
772,www.promedmail.org/post/2208004,"Hand, foot &amp; mouth disease - Taiwan (Central)(03)"
851,www.promedmail.org/post/2199217,Helicobacter antibiotic resistance - USA (Alaska) (02)
543,www.promedmail.org/post/302091,Influenza pandemic (H1N1) 2009 (60): bacterial coinfection
736,www.promedmail.org/post/311359,Influenza pandemic (H1N1) 2009 (72): pneumonia
1139,www.promedmail.org/post/2204822,Intl Congr Infect Dis - Mexico (Cancun): 4-7 Mar 2004
425,www.promedmail.org/post/8918,"Klebsiella pneumoniae, multiresistant, nosocomial - Israel"
924,www.promedmail.org/post/1989216,"Klebsiella, antimicrobial resistant - France: (Nice) nosocomial deaths"
879,www.promedmail.org/post/1554276,Leprosy - Indonesia
986,www.promedmail.org/post/2202559,Listeriosis - USA (Multistate) (03)
633,www.promedmail.org/post/2203926,"Listeriosis, new prevention regulations - USA"
721,www.promedmail.org/post/150560,"Malaria - Cambodia, Thailand, artemisinin resistance"
951,www.promedmail.org/post/2386474,Measles update (14)
857,www.promedmail.org/post/1304468,Measles update 2012 (35)
488,www.promedmail.org/post/1165498,Melioidosis - Australia (03): (NT)
852,www.promedmail.org/post/1243818,Melioidosis - Australia (04): (NT) cases increase
999,www.promedmail.org/post/3051783,Melioidosis - Australia: (NT)
775,www.promedmail.org/post/639099,Melioidosis - Australia: (QL)
902,www.promedmail.org/post/1874373,Melioidosis - Bangladesh: (DA) 1st soil isolate
1016,www.promedmail.org/post/1687746,Melioidosis - Belgium ex Madagascar
860,www.promedmail.org/post/1329106,"Melioidosis - Belgium ex Thailand: cutaneous, travel-assoc."
627,www.promedmail.org/post/2205550,Melioidosis - Singapore
453,www.promedmail.org/post/2206572,Melioidosis - Singapore (04)
641,www.promedmail.org/post/2207582,"Melioidosis, fatal - Australia (QLD)"
840,www.promedmail.org/post/1080222,"Meningitis, meningococcal -  Africa"
961,www.promedmail.org/post/58468,"Meningitis, meningococcal, drug resistant - USA (MN, ND)"
648,www.promedmail.org/post/1687,Meningococcal disease cluster - USA (NY): RFI
658,www.promedmail.org/post/6871,Meningococcal disease update 2007
669,www.promedmail.org/post/9079,Meningococcal disease update 2007 (13)
568,www.promedmail.org/post/2194333,Meningococcal resistance to chloramphenicol
521,www.promedmail.org/post/2190379,Methicillin-resistant _Staphylococcus aureus_ - Canada
814,www.promedmail.org/post/2198356,"Methicillin-resistant Staph. aureus, dogs - Canada"
885,www.promedmail.org/post/1612763,"Mycobacterium abscessus - UK: (Eng) Cystic fibrosis, trans."
754,www.promedmail.org/post/2203202,Mycobacterium abscessus - USA (New York)
975,www.promedmail.org/post/2629236,"Mycobacterium abscessus - USA: (SC) nosocomial, fatal, RFI"
1005,www.promedmail.org/post/3322856,"Mycoplasma &amp; ureaplasma - USA: fatal hyperammonemia, organ transplant"
747,www.promedmail.org/post/1053193,"Mycoplasma infection \'96 France, Israel:  increasing incidence"
994,www.promedmail.org/post/3031474,Mycoplasma pneumoniae - China: (HK) schoolchildren
711,www.promedmail.org/post/114606,"NAMRU-2, activities suspended - Indonesia"
947,www.promedmail.org/post/2322398,NDM carrying Gram-negative bacilli - Americas: Update
900,www.promedmail.org/post/1860993,"NDM-1 carrying Acinetobacter - France: ex Algeria, ICU outbreak"
940,www.promedmail.org/post/2151607,NDM-1 carrying E. coli - USA: (IL) ERCP
913,www.promedmail.org/post/1952976,NDM-1 carrying Enterobacteriaceae - Brazil: (RJ)
855,www.promedmail.org/post/1291460,NDM-1 carrying Enterobacteriaceae - China (02): (HK) ex Guangdong
959,www.promedmail.org/post/2442036,NDM-1 carrying Enterobacteriaceae - China: (HK)
853,www.promedmail.org/post/1249316,NDM-1 carrying Enterobacteriaceae - France: ex Cameroon
1060,www.promedmail.org/post/960952,"NDM-1 carrying Enterobacteriaceae - Guatemala: 1st rep, PAHO"
980,www.promedmail.org/post/899908,NDM-1 carrying Enterobacteriaceae - India (02): nosocomial infections
824,www.promedmail.org/post/995166,NDM-1 carrying Enterobacteriaceae - India (03): comment
807,www.promedmail.org/post/696586,NDM-1 carrying Enterobacteriaceae - India: (New Delhi) water supply
740,www.promedmail.org/post/1044861,"NDM-1 carrying Enterobacteriaceae - Ireland: 1st rep, ex India"
823,www.promedmail.org/post/960397,NDM-1 carrying Enterobacteriaceae - Italy: link to India
757,www.promedmail.org/post/493049,"NDM-1 carrying Enterobacteriaceae - N America, UK ex India"
468,www.promedmail.org/post/1294263,NDM-1 carrying Enterobacteriaceae - USA (02): feline
846,www.promedmail.org/post/1175799,NDM-1 carrying Enterobacteriaceae - USA: (RI) ex Viet Nam
447,www.promedmail.org/post/495820,"NDM-1 carrying Enterobacteriaceae - worldwide ex India, Pakistan"
764,www.promedmail.org/post/527634,"NDM-1 carrying Enterobacteriaceae - worldwide ex India, Pakistan (02)"
881,www.promedmail.org/post/544590,NDM-1 carrying Enterobacteriaceae (04): Taiwan ex India
867,www.promedmail.org/post/1402258,NDM-1 carrying Pseudomonas - France: (ex Serbia)
862,www.promedmail.org/post/1224333,NDM-1 carrying Vibrio cholerae - India
515,www.promedmail.org/post/1414608,NDM-carrying Enterobacteriaceae - USA (03): (CO) nosocomial
239,www.promedmail.org/post/2206742,Paratyphoid fever - Israel ex India
751,www.promedmail.org/post/480387,Paratyphoid fever - Taiwan ex India (AP): international alert
163,www.promedmail.org/post/28361,"Paratyphoid fever, food workers - Armenia"
1001,www.promedmail.org/post/3076901,Plague - Madagascar
988,www.promedmail.org/post/2981993,Plague - Madagascar (02)
937,www.promedmail.org/post/2104065,Plague - Madagascar (02): (SF) fatalities
876,www.promedmail.org/post/1467364,Plague - Madagascar (02): fatalities
993,www.promedmail.org/post/3027826,Plague - Madagascar (04)
285,www.promedmail.org/post/1415379,Plague - Madagascar: fatalities
930,www.promedmail.org/post/2009541,"Plague - Madagascar: prison, urban risk, alert"
477,www.promedmail.org/post/661759,"Plague, fatal - USA: (IL), 2009, lab strain, CDC"
818,www.promedmail.org/post/909748,"Plague, pneumonic - Madagascar (05): (AV)"
777,www.promedmail.org/post/658019,"Plague, pneumonic - Madagascar: (Antsiranana) RFI"
896,www.promedmail.org/post/122266,"Plague, pneumonic - Madagascar: (Toamasina)"
696,www.promedmail.org/post/57741,"Plague, pneumonic, fatal - Congo DR: (Orientale), susp."
519,www.promedmail.org/post/2188661,"PROMED: Infection control - Florida, USA &amp; RFI"
596,www.promedmail.org/post/2188727,"PROMED: WER Contents, June 14, 1996"
657,www.promedmail.org/post/6780,"Pseudomonas aeruginosa, carbapenem resistant - Belgium"
820,www.promedmail.org/post/2201148,S. Typhimurium DT104 - Netherlands: 2000-2001
588,www.promedmail.org/post/2200381,"S. typhimurium DT104, imported helva - Australia, Sweden"
610,www.promedmail.org/post/2202665,Salmonella enteritidis PT14b - UK (England)
723,www.promedmail.org/post/163754,Salmonella infantis - Israel: relative increased morbidity
608,www.promedmail.org/post/2202080,"Salmonella newport, multiresistant - USA: alert"
173,www.promedmail.org/post/3981,"Salmonella Saint-Paul, melon - Australia (Eastern)"
1125,www.promedmail.org/post/2208994,Salmonella typhimurium DT104 - Netherlands
549,www.promedmail.org/post/2192654,"Salmonella typhimurium DT104, antibiotic res.- Canada"
1031,www.promedmail.org/post/2208920,"Salmonella typhimurium DT104, beef - Norway ex Poland"
552,www.promedmail.org/post/2192838,"Salmonella typhimurium DT104, global prevalence (02)"
115,www.promedmail.org/post/2202975,Salmonella typhimurium DT120 - Denmark
1166,www.promedmail.org/post/2201393,"Salmonella, fluoroquinolone resistance - Taiwan (02)"
674,www.promedmail.org/post/22574,"Salmonellosis, (Schwarzengrund), pet owners - USA (PA):alert"
888,www.promedmail.org/post/1762996,"Salmonellosis, bovine - Bermuda"
1055,www.promedmail.org/post/22961,"Salmonellosis, free unpasteurized milk - USA (PA)(03)"
916,www.promedmail.org/post/1969953,"Salmonellosis, Paratyphoid A - ex Cambodia, int'l visitors"
647,www.promedmail.org/post/2208734,"Salmonellosis, political gathering - Honduras (Atlantida)"
229,www.promedmail.org/post/441777,"Salmonellosis, serotype 4,[5],12:i:- - EU"
738,www.promedmail.org/post/323594,"Salmonellosis, serotype enteritidis - UK: (E &amp; W)"
813,www.promedmail.org/post/809906,"Salmonellosis, serotype Heidelberg - USA (02): ground turkey, recall"
1032,www.promedmail.org/post/1995837,"Salmonellosis, serotype Heidelberg - USA (03): chicken, alert"
827,www.promedmail.org/post/1031014,"Salmonellosis, serotype I 4,[5],12:i:- - France: sausage"
636,www.promedmail.org/post/2206596,"Salmonellosis, serotype Newport - UK (England)"
848,www.promedmail.org/post/1175800,"Salmonellosis, serotype Paratyphi B - Spain: (PV), pet turtles"
689,www.promedmail.org/post/44226,"Salmonellosis, serotype Paratyphi var Java - Europe"
714,www.promedmail.org/post/125824,"Salmonellosis, serotype Typhimurium DT104 - Netherlands"
750,www.promedmail.org/post/1017854,"Salmonellosis, serotype Typhimurium DT193 - UK"
688,www.promedmail.org/post/40283,"Salmonellosis, serotype Weltevreden, sprouts - Scandinavia"
983,www.promedmail.org/post/2197905,"Salmonellosis, songbirds - USA &amp; Canada (02)"
971,www.promedmail.org/post/2539640,"Salmonellosis, st Cotham - USA (02): bearded dragon, 2nd st"
958,www.promedmail.org/post/2425463,"Salmonellosis, st Cotham - USA: bearded dragons"
944,www.promedmail.org/post/2177756,"Salmonellosis, st Heidelberg - USA (02): (TN) chicken, recall, alert"
946,www.promedmail.org/post/2315094,"Salmonellosis, st Heidelberg - USA (03): chicken, continued alert"
815,www.promedmail.org/post/817847,"Salmonellosis, st Heidelberg - USA (03): ground turkey"
324,www.promedmail.org/post/2488216,"Salmonellosis, st Typhimurium - USA: frozen rodents, alert"
991,www.promedmail.org/post/3019975,"Salmonellosis, st. Enteritidis - USA (05): sprouts, alert"
709,www.promedmail.org/post/2407467,"Salmonellosis, st. Heidelberg - USA (04): chicken, continued alert"
934,www.promedmail.org/post/2057055,"Salmonellosis, st. Paratyphi A - Japan: ex India, multidrug resistance"
369,www.promedmail.org/post/2208260,"Salmonellosis, visiting students - Australia (QLD)"
831,www.promedmail.org/post/1035481,"Schmallenberg virus - Europe (15): update, OIE"
581,www.promedmail.org/post/2197656,"Shigella, altered species prevalence (03)"
650,www.promedmail.org/post/3215,"Shigella, day care, drug resistant, 2005 - USA (MO,KS,KY)"
1004,www.promedmail.org/post/3278553,"Shigellosis - USA (02): sonnei, fluoroquinolone resistance"
681,www.promedmail.org/post/1581525,"Shigellosis, serotype Sonnei - USA: (CA) 2012, resistance"
873,www.promedmail.org/post/1451726,"Staph. aureus (MRSA) - UK: dairy cattle, zoonotic implications"
136,www.promedmail.org/post/2311665,"Staph. aureus (MRSA), comm. assoc. - China: (HK)"
629,www.promedmail.org/post/2205896,"Staph. aureus (MRSA), community acq. - Australia"
643,www.promedmail.org/post/2207925,"Staph. aureus (MRSA), community acq. - UK (ENGLAND): 2003-4"
620,www.promedmail.org/post/2204432,"Staph. aureus (MRSA), community acq. - USA (Multi.)"
1137,www.promedmail.org/post/2208535,"Staph. aureus (MRSA), community acq., tattoos - USA (VT)(02)"
614,www.promedmail.org/post/2202870,"Staph. aureus (MRSA), community acquired - USA (TX)"
727,www.promedmail.org/post/222587,"Staph. aureus (MRSA), human, animals - Europe: evaluation"
580,www.promedmail.org/post/75677,"Staph. aureus (MRSA), nosocomial - UK (England)"
786,www.promedmail.org/post/337887,"Staph. aureus (MRSA), porcine - Europe: survey"
774,www.promedmail.org/post/612593,"Staph. aureus (MRSA), USA300 - Isle of Man"
829,www.promedmail.org/post/1031875,"Staph. aureus (MRSA), USA300 - UK"
1178,www.promedmail.org/post/2196332,"Staph. aureus, MRSA, community acquired - USA"
533,www.promedmail.org/post/2190829,"Staph. aureus, vancomycin resistance? - Japan (02)"
599,www.promedmail.org/post/2201827,"Staph. aureus, VISA - UK (England)"
601,www.promedmail.org/post/2201850,"Staph. aureus, VISA - UK (England) (02)"
766,www.promedmail.org/post/2202090,"Staph. aureus, VRSA - USA (Michigan)"
864,www.promedmail.org/post/2205625,"Staph. aureus, VRSA - USA (NY)"
611,www.promedmail.org/post/2202693,"Staph. aureus, VRSA - USA (Pennsylvania)"
890,www.promedmail.org/post/1800166,"Staphylococcus aureus, MRSA - Brazil: (SP) vancomycin resistant (VRSA)"
952,www.promedmail.org/post/2420131,"Staphylococcus aureus, MRSA - Brazil: (SP) vancomycin resistant (VRSA) update"
553,www.promedmail.org/post/2192940,"Staphylococcus aureus, MRSA prevalence - Canada"
569,www.promedmail.org/post/2193210,"Staphylococcus aureus, vancomycin res. -USA(New York)"
586,www.promedmail.org/post/2200324,"Staphylococcus, MRSA, linezolid resistant - USA"
649,www.promedmail.org/post/2091,"Strep. Group B, infants - Norway: increased mortality"
680,www.promedmail.org/post/33081,"Strep. pneumoniae, non-vaccine strain emergence - USA (02): (MA)"
536,www.promedmail.org/post/2191980,"Strep. pneumoniae, penicillin resistance - Taiwan, USA"
686,www.promedmail.org/post/36325,"Strep. pneumoniae, serotypes 5, 19A - Canada: (BC, ON)"
660,www.promedmail.org/post/2190697,"Strep.pneumoniae, drug resistant - Canada (Ontario)"
532,www.promedmail.org/post/2190569,"Strep.pneumoniae, drug resistant - USA"
874,www.promedmail.org/post/1461066,"Streptococcus group A, scarlet fever - China (02): (HK)"
1089,www.promedmail.org/post/2208505,"Streptococcus suis, porcine, human - China (17)"
646,www.promedmail.org/post/2208650,"Streptococcus suis, porcine, human - China (19): OIE"
726,www.promedmail.org/post/2208352,"Streptococcus suis, porcine, human - China (Sichuan)"
984,www.promedmail.org/post/2203359,"Streptococcus, group A, pneumonia - USA (CA)"
1193,www.promedmail.org/post/2348946,"Streptococcus, group A, scarlet fever - UK (07): (England) background"
673,www.promedmail.org/post/2429368,"Streptococcus, group A, scarlet fever - UK (09): (England) update"
967,www.promedmail.org/post/2457781,"Streptococcus, group A, scarlet fever - UK (10): (England) update"
652,www.promedmail.org/post/5484,Swimmer's itch - USA (CT)(02)
806,www.promedmail.org/post/2281656,"Syphilis - USA (03): (MO, KS) higher incidence, antibiotic resistance"
694,www.promedmail.org/post/56731,"Tuberculosis, MDR - South Africa"
621,www.promedmail.org/post/2204930,"Tuberculosis, new multidrug-resistant strain -S. Africa"
1195,www.promedmail.org/post/2204035,Tularemia - USA (Nebraska)
578,www.promedmail.org/post/2197102,Typhoid fever - India (Bangalore)
603,www.promedmail.org/post/2206097,Typhoid fever - Kyrgyzstan (Batkenskaya)
699,www.promedmail.org/post/1107274,Typhoid fever update 2012 (09)
768,www.promedmail.org/post/600707,Undiagnosed disease - Uganda (07): plague suspected
600,www.promedmail.org/post/2209113,"Undiagnosed respiratory illness, soldiers - Israel (02)"
526,www.promedmail.org/post/2192508,"Vancomycin resistance, intermed., S. aureus - Europe"
538,www.promedmail.org/post/2192266,"Vancomycin resistant cocci, poultry to human transfer"
540,www.promedmail.org/post/2192283,"Vancomycin resistant cocci, poultry to human transfer (03)"
607,www.promedmail.org/post/1858689,Vancomycin resistant enterococci - China: (HK) E. faecium ST6/CC5
749,www.promedmail.org/post/476949,Vancomycin resistant enterococci - Sweden
765,www.promedmail.org/post/536278,VIM carrying Enterobacteriaceae - USA ex Greece: 1st rep.
534,www.promedmail.org/post/2202163,VRE - Canada (Nova Scotia)
530,www.promedmail.org/post/2190564,"WER Contents, Apr 11, 1997"
968,www.promedmail.org/post/2523562,Will the global community get serious about a serious problem?
335,www.promedmail.org/post/3915891,"Antibiotic resistance - Canada: colistin, MCR-1, E. coli, grd. beef, human, 2010"
1046,www.promedmail.org/post/3810204,"Antibiotic resistance - China: colistin, plasmid-encoded, humans, animals"
1051,www.promedmail.org/post/3844715,"Antibiotic resistance - Denmark: colistin, MCR-1, salmonella, human, chicken, RFI"
1052,www.promedmail.org/post/3850743,"Antibiotic resistance - India: (Delhi) E. coli, MDR, river water pollution"
1187,www.promedmail.org/post/3933461,"Antibiotic resistance - Italy: colistin, MCR-1, E. coli, turkeys, 2014"
1092,www.promedmail.org/post/4313655,"Antibiotic resistance - multicountry: colistin, MCR-1, E. coli, gull"
266,www.promedmail.org/post/4323241,"Antibiotic resistance - Portugal: colistin, MCR-1, Salmonella, Cu tolerance"
1095,www.promedmail.org/post/4317770,"Antibiotic resistance - USA (03): (NY) colistin, MCR-1, E. coli, human"
1086,www.promedmail.org/post/4251552,"Antibiotic resistance - USA: colistin, MCR-1, E. coli, human, pig"
510,www.promedmail.org/post/4293589,"Antibiotic resistance, Salmonella - Africa: (sub-Saharan) fluoroquinolones"
1059,www.promedmail.org/post/3875812,"Antibiotic resistance: colistin, MCR-1, multi-continent spread, human, animal"
1082,www.promedmail.org/post/4198263,Antibiotic-resistant Klebsiella - South Africa: (NL) NICU
1047,www.promedmail.org/post/3810544,"Antimicrobial resistance - EU: ECDC report, 2014"
1066,www.promedmail.org/post/3956385,"Antimicrobials, livestock - USA"
1049,www.promedmail.org/post/3841131,"Carbapenem-resistant Enterobacteriaceae - USA: OXA-48 carbapenemases, 2010-2015"
319,www.promedmail.org/post/4162000,"Cholera - Netherlands: non-O1, non-O139, bacteremia"
234,www.promedmail.org/post/4099438,"Elizabethkingia anophelis - USA (04): (WI) fatal, community acquired"
456,www.promedmail.org/post/4110826,"Elizabethkingia anophelis - USA (06): (WI,MI) fatal, community acq"
1077,www.promedmail.org/post/4176668,"Elizabethkingia anophelis - USA (13): (WI,IL) fatal, community acq"
313,www.promedmail.org/post/3907866,"Gonococcal disease - UK: (England) azithromycin monotherapy resistance, RFI"
1078,www.promedmail.org/post/4185599,"Klebsiella pneumoniae - Brazil: (SP) resistant, KPC, nosocomial, fatal"
1050,www.promedmail.org/post/3842153,"Lymphogranuloma venereum - UK: increased incidence, MSM, HIV-pos., 2003-2015"
1048,www.promedmail.org/post/3841091,"Mycoplasma pneumoniae - UK: (England) macrolide resistance, 2014-2015"
1062,www.promedmail.org/post/3920609,Plague - Madagascar
1079,www.promedmail.org/post/4195399,"Salmonellosis - USA (08): FDA,contaminated raw retail meat &amp; poultry, resistance"
1090,www.promedmail.org/post/4266428,"Salmonellosis, multiple serotypes - USA (02): live poultry"
1044,www.promedmail.org/post/3779058,"Salmonellosis, multiple serotypes - USA: pet turtles"
1084,www.promedmail.org/post/4230368,"Salmonellosis, multiple serotypes - USA: pet turtles"
