study_id,segment,code_identifiers,code_main,code_identifiers_link,mesh_drug_id,mesh_drug_definitions,mesh_drug_mn,mesh_drug_segment_name_class,mesh_drug_preferred_label,mesh_drug_class,mesh_drug_class_desc,mesh_drug_parent_id,mesh_drug_parent_name,mesh_drug_rank,atc_drug_preferred_label,atc_drug_id,atc_drug_parents_class_ids,atc_drug_rank,atc_drug_parent_name
10020,fluoroquinolones,NA,drug resisted,NA,d024841,a group of quinolones with at least one fluorine atom and a piperazinyl group.,d03.633.100.810.835.322,preferred_label,fluoroquinolones,d,desc,d015363,quinolones,drug group,fluoroquinolones,c3542473,j01m,drug_group,quinolone antibacterials
10020,co-trimoxazole,NA,drug resisted,NA,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,d014295|d004338|d013420,trimethoprim; drug combinations; sulfamethoxazole,drug name,sulfamethoxazole and trimethoprim,c0041044,j01ee,drug_name,"combinations of sulfonamides and trimethoprim, incl. derivatives"
10081,isoniazid,NA,drug resisted,NA,d007538,antibacterial agent used primarily as a tuberculostatic. it remains the treatment of choice for tuberculosis.,d03.066.349.410|d02.442.436|d03.383.725.394.582,preferred_label,isoniazid,d,desc,d006834|d007539,hydrazines; isonicotinic acids,drug name,isoniazid,c0022209,j04ac,drug_name,hydrazides for tuberculosis treatment
10081,rifampin,NA,drug resisted,NA,d012293,"a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)",d03.633.400.811.700|d04.345.295.750.700,preferred_label,rifampin,d,desc,d012294,rifamycins,drug name,rifampicin,c0035608,j04ab,drug_name,"antibiotics, antitubercular"
10081,ethambutol,NA,drug resisted,NA,d004977,"an antitubercular agent that inhibits the transfer of mycolic acids into the cell wall of the tubercle bacillus. it may also inhibit the synthesis of spermidine in mycobacteria. the action is usually bactericidal, and the drug can penetrate human cell membranes to exert its lethal effect. (from smith and reynard, textbook of pharmacology, 1992, p863)",d02.092.782.258.368.265,preferred_label,ethambutol,d,desc,d005029,ethylenediamines,drug name,ethambutol,c0014964,j04ak,drug_name,other drugs for treatment of tuberculosis in atc
10081,pyrazinamide,NA,drug resisted,NA,d011718,a pyrazine that is used therapeutically as an antitubercular agent.,d03.383.679.750,preferred_label,pyrazinamide,d,desc,d011719,pyrazines,drug name,pyrazinamide,c0034239,j04ak,drug_name,other drugs for treatment of tuberculosis in atc
10083,amoxicillin,b,drug resisted,drug resisted; mic,d000658,a broad-spectrum semisynthetic antibiotic similar to ampicillin except that its resistance to gastric acid permits higher serum levels with oral administration.,d02.065.589.099.750.750.050.050|d02.886.108.750.750.050.050|d03.633.100.300.750.750.050.050,preferred_label,amoxicillin,d,desc,d000667,ampicillin,drug group,amoxicillin,c0002645,j01ca,drug_name,penicillins with extended spectrum
10083,amoxicillin-potassium clavulanate combination,a,drug resisted,drug resisted; mic,d019980,a fixed-ratio combination of amoxicillin trihydrate and potassium clavulanate.,d02.065.589.099.374.160.060|d03.633.100.300.750.750.050.050.500|d02.065.589.099.750.750.050.050.060|d02.886.108.750.750.050.050.060|d03.633.100.300.374.160.060,preferred_label,amoxicillin-potassium clavulanate combination,d,desc,d019818|d000658,clavulanic acid; amoxicillin,drug name,amoxicillin and beta-lactamase inhibitor,c3653015,j01cr,drug_name,"combinations of penicillins, incl. beta-lactamase inhibitors"
10083,ceftriaxone,c,drug resisted,drug resisted; mic,d002443,"a broad-spectrum cephalosporin antibiotic with a very long half-life and high penetrability to meninges, eyes and inner ears.",d03.633.100.300.249.190.190.155|d02.065.589.099.249.190.190.155|d02.886.665.074.190.190.155,preferred_label,ceftriaxone,d,desc,d002439,cefotaxime,drug name,ceftriaxone,c0007561,j01dd,drug_name,third-generation cephalosporins
10083,cefuroxime,d,drug resisted,drug resisted; mic,d002444,"broad-spectrum cephalosporin antibiotic resistant to beta-lactamase. it has been proposed for infections with gram-negative and gram-positive organisms, gonorrhea, and haemophilus.",d03.633.100.300.249.190.190.165|d02.065.589.099.249.190.190.165|d02.886.665.074.190.190.165,preferred_label,cefuroxime,d,desc,d002439,cefotaxime,drug name,cefuroxime,c0007562,j01dc|s01aa,drug_name,"second-generation cephalosporins; antibiotics, ophthalmologic"
10083,erythromycin,e,drug resisted,drug resisted; mic,d004917,"a bacteriostatic antibiotic macrolide produced by streptomyces erythreus. erythromycin a is considered its major active component. in sensitive organisms, it inhibits protein synthesis by binding to 50s ribosomal subunits. this binding process inhibits peptidyl transferase activity and interferes with translocation of amino acids during translation and assembly of proteins.",d02.540.576.500.992,preferred_label,erythromycin,d,desc,d018942,macrolides,drug group,erythromycin,c0014806,s01aa|j01fa|d10af,drug_name,"antibiotics, ophthalmologic; macrolides; antiinfectives for treatment of acne"
10083,clarithromycin,f,drug resisted,drug resisted; mic,d017291,a semisynthetic macrolide antibiotic derived from erythromycin that is active against a variety of microorganisms. it can inhibit protein synthesis in bacteria by reversibly binding to the 50s ribosomal subunits. this inhibits the translocation of aminoacyl transfer-rna and prevents peptide chain elongation.,d02.540.576.500.992.100,preferred_label,clarithromycin,d,desc,d004917,erythromycin,drug name,clarithromycin,c0055856,j01fa,drug_name,macrolides
10083,tetracycline,g,drug resisted,drug resisted; mic,d013752,a naphthacene antibiotic that inhibits amino acyl trna binding during protein synthesis.,d04.615.562.900.875|d02.455.426.559.847.562.900.875,preferred_label,tetracycline,d,desc,d013754,tetracyclines,drug name,tetracycline,c0039644,s03aa|j01aa|s01aa|d06aa|s02aa|a01ab,drug_name,"antiinfectives; tetracyclines; antibiotics, ophthalmologic; tetracycline and derivatives, topical antibiotics; antiinfectives; antiinfectives and antiseptics for local oral treatment"
10083,levofloxacin,h,drug resisted,drug resisted; mic,d064704,the l-isomer of ofloxacin.,d03.633.100.810.835.322.500.500,preferred_label,levofloxacin,d,desc,d015242,ofloxacin,drug name,levofloxacin,c0282386,j01ma|s01ae,drug_name,"fluoroquinolone antibacterials, systemic; fluoroquinolone antiinfectives, ophthalmologic"
10083,moxifloxacin,i,drug resisted,drug resisted; mic,c104727,NA,NA,preferred_label,moxifloxacin,c,supp,d024841,fluoroquinolones,drug name,moxifloxacin,c0536495,s01ae|j01ma,drug_name,"fluoroquinolone antiinfectives, ophthalmologic; fluoroquinolone antibacterials, systemic"
10083,gatifloxacin,j,drug resisted,drug resisted; mic,c078049,NA,NA,preferred_label,gatifloxacin,c,supp,d024841,fluoroquinolones,drug name,gatifloxacin,c0753645,j01ma|s01ae,drug_name,"fluoroquinolone antibacterials, systemic; fluoroquinolone antiinfectives, ophthalmologic"
10125,doripenem,a,drug resisted,drug resisted; mic,c099245,NA,NA,preferred_label,doripenem,c,supp,d015780,carbapenems,drug name,doripenem,c0389169,j01dh,drug_name,carbapenems
10125,ertapenem,b,drug resisted,drug resisted; mic,c446479,NA,NA,preferred_label,ertapenem,c,supp,d047090,beta-lactams,drug name,ertapenem,c1120106,j01dh,drug_name,carbapenems
10125,meropenem,c,drug resisted,drug resisted; mic,c059500,NA,NA,preferred_label,meropenem,c,supp,d013845,thienamycins,drug name,meropenem,c0066005,j01dh,drug_name,carbapenems
10125,imipenem,d,drug resisted,drug resisted; mic,d015378,"semisynthetic thienamycin that has a wide spectrum of antibacterial activity against gram-negative and gram-positive aerobic and anaerobic bacteria, including many multiresistant strains. it is stable to beta-lactamases. clinical studies have demonstrated high efficacy in the treatment of infections of various body systems. its effectiveness is enhanced when it is administered in combination with cilastatin, a renal dipeptidase inhibitor.",d02.065.589.099.124.300.500|d03.633.100.300.124.300.500,preferred_label,imipenem,d,desc,d013845,thienamycins,drug name,imipenem and cilastatin,c0071972,j01dh,drug_name,carbapenems
10125,amoxicillin-potassium clavulanate combination,e,drug resisted,drug resisted; mic,d019980,a fixed-ratio combination of amoxicillin trihydrate and potassium clavulanate.,d02.065.589.099.374.160.060|d03.633.100.300.750.750.050.050.500|d02.065.589.099.750.750.050.050.060|d02.886.108.750.750.050.050.060|d03.633.100.300.374.160.060,preferred_label,amoxicillin-potassium clavulanate combination,d,desc,d019818|d000658,clavulanic acid; amoxicillin,drug name,amoxicillin and beta-lactamase inhibitor,c3653015,j01cr,drug_name,"combinations of penicillins, incl. beta-lactamase inhibitors"
10125,ceftriaxone,f,drug resisted,drug resisted; mic,d002443,"a broad-spectrum cephalosporin antibiotic with a very long half-life and high penetrability to meninges, eyes and inner ears.",d03.633.100.300.249.190.190.155|d02.065.589.099.249.190.190.155|d02.886.665.074.190.190.155,preferred_label,ceftriaxone,d,desc,d002439,cefotaxime,drug name,ceftriaxone,c0007561,j01dd,drug_name,third-generation cephalosporins
10125,cefuroxime,g,drug resisted,drug resisted; mic,d002444,"broad-spectrum cephalosporin antibiotic resistant to beta-lactamase. it has been proposed for infections with gram-negative and gram-positive organisms, gonorrhea, and haemophilus.",d03.633.100.300.249.190.190.165|d02.065.589.099.249.190.190.165|d02.886.665.074.190.190.165,preferred_label,cefuroxime,d,desc,d002439,cefotaxime,drug name,cefuroxime,c0007562,j01dc|s01aa,drug_name,"second-generation cephalosporins; antibiotics, ophthalmologic"
10125,"piperacillin, tazobactam drug combination",h,drug resisted,drug resisted; mic,c085143,NA,NA,preferred_label,"piperacillin, tazobactam drug combination",c,supp,d010397/q000031|d010878,penicillanic acid; piperacillin,drug name,piperacillin and beta-lactamase inhibitor,c3653018,j01cr,drug_name,"combinations of penicillins, incl. beta-lactamase inhibitors"
10125,ceftazidime,i,drug resisted,drug resisted; mic,d002442,"semisynthetic, broad-spectrum antibacterial derived from cephaloridine and used especially for pseudomonas and other gram-negative infections in debilitated patients.",d03.633.100.300.249.210.150|d02.065.589.099.249.210.150|d02.886.665.074.210.150,preferred_label,ceftazidime,d,desc,d002509,cephaloridine,drug name,ceftazidime,c0007559,j01dd,drug_name,third-generation cephalosporins
10125,cefotaxime,j,drug resisted,drug resisted; mic,d002439,semisynthetic broad-spectrum cephalosporin.,d03.633.100.300.249.190.190|d02.065.589.099.249.190.190|d02.886.665.074.190.190,preferred_label,cefotaxime,d,desc,d002505,cephacetrile,drug group,cefotaxime,c0007554,j01dd,drug_name,third-generation cephalosporins
10125,amikacin,k,drug resisted,drug resisted; mic,d000583,a broad-spectrum antibiotic derived from kanamycin. it is reno- and oto-toxic like the other aminoglycoside antibiotics.,d09.408.051.476.060,preferred_label,amikacin,d,desc,d007612,kanamycin,drug name,amikacin,c0002499,s01aa|d06ax|j01gb,drug_name,"antibiotics, ophthalmologic; other antibiotics for topical use in atc; other aminoglycosides in atc"
10125,tobramycin,l,drug resisted,drug resisted; mic,d014031,"an aminoglycoside, broad-spectrum antibiotic produced by streptomyces tenebrarius. it is effective against gram-negative bacteria, especially the pseudomonas species. it is a 10% component of the antibiotic complex, nebramycin, produced by the same species.",d09.408.051.476.600.800,preferred_label,tobramycin,d,desc,d009328,nebramycin,drug name,tobramycin,c0040341,s01aa|j01gb,drug_name,"antibiotics, ophthalmologic; other aminoglycosides in atc"
10125,gentamicin,m,drug resisted,drug resisted; mic,d005839,"a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.",d09.408.051.374,synonyms,gentamicins,d,desc,d000617,aminoglycosides,drug group,gentamicin,c3854019,s01aa|s02aa|d06ax|j01gb|s03aa,drug_name,"antibiotics, ophthalmologic; antiinfectives; other antibiotics for topical use in atc; other aminoglycosides in atc; antiinfectives"
10125,levofloxacin,n,drug resisted,drug resisted; mic,d064704,the l-isomer of ofloxacin.,d03.633.100.810.835.322.500.500,preferred_label,levofloxacin,d,desc,d015242,ofloxacin,drug name,levofloxacin,c0282386,j01ma|s01ae,drug_name,"fluoroquinolone antibacterials, systemic; fluoroquinolone antiinfectives, ophthalmologic"
10125,ofloxacin,o,drug resisted,drug resisted; mic,d015242,"a synthetic fluoroquinolone antibacterial agent that inhibits the supercoiling activity of bacterial dna gyrase, halting dna replication.",d03.633.100.810.835.322.500,preferred_label,ofloxacin,d,desc,d024841,fluoroquinolones,drug group,ofloxacin,c0028902,j01ma|s02aa|s01ae,drug_name,"fluoroquinolone antibacterials, systemic; antiinfectives; fluoroquinolone antiinfectives, ophthalmologic"
10209,gentamicin,e,drug resisted,drug resisted; mic,d005839,"a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.",d09.408.051.374,synonyms,gentamicins,d,desc,d000617,aminoglycosides,drug group,gentamicin,c3854019,s01aa|s02aa|d06ax|j01gb|s03aa,drug_name,"antibiotics, ophthalmologic; antiinfectives; other antibiotics for topical use in atc; other aminoglycosides in atc; antiinfectives"
10209,tobramycin,f,drug resisted,drug resisted; mic,d014031,"an aminoglycoside, broad-spectrum antibiotic produced by streptomyces tenebrarius. it is effective against gram-negative bacteria, especially the pseudomonas species. it is a 10% component of the antibiotic complex, nebramycin, produced by the same species.",d09.408.051.476.600.800,preferred_label,tobramycin,d,desc,d009328,nebramycin,drug name,tobramycin,c0040341,s01aa|j01gb,drug_name,"antibiotics, ophthalmologic; other aminoglycosides in atc"
10209,ampicillin,a,drug resisted,drug resisted; mic,d000667,semi-synthetic derivative of penicillin that functions as an orally active broad-spectrum antibiotic.,d03.633.100.300.750.750.050|d02.065.589.099.750.750.050|d02.886.108.750.750.050,preferred_label,ampicillin,d,desc,d010400,penicillin g,drug group,ampicillin,c0002680,s01aa|j01ca,drug_name,"antibiotics, ophthalmologic; penicillins with extended spectrum"
10209,ampicillin,b,drug resisted,drug resisted; mic,d000667,semi-synthetic derivative of penicillin that functions as an orally active broad-spectrum antibiotic.,d03.633.100.300.750.750.050|d02.065.589.099.750.750.050|d02.886.108.750.750.050,preferred_label,ampicillin,d,desc,d010400,penicillin g,drug group,ampicillin,c0002680,s01aa|j01ca,drug_name,"antibiotics, ophthalmologic; penicillins with extended spectrum"
10209,ceftazidime,c,drug resisted,drug resisted; mic,d002442,"semisynthetic, broad-spectrum antibacterial derived from cephaloridine and used especially for pseudomonas and other gram-negative infections in debilitated patients.",d03.633.100.300.249.210.150|d02.065.589.099.249.210.150|d02.886.665.074.210.150,preferred_label,ceftazidime,d,desc,d002509,cephaloridine,drug name,ceftazidime,c0007559,j01dd,drug_name,third-generation cephalosporins
10209,ceftazidime,d,drug resisted,drug resisted; mic,d002442,"semisynthetic, broad-spectrum antibacterial derived from cephaloridine and used especially for pseudomonas and other gram-negative infections in debilitated patients.",d03.633.100.300.249.210.150|d02.065.589.099.249.210.150|d02.886.665.074.210.150,preferred_label,ceftazidime,d,desc,d002509,cephaloridine,drug name,ceftazidime,c0007559,j01dd,drug_name,third-generation cephalosporins
10221,aztreonam,a,drug resisted,drug resisted; mic,d001398,"a monocyclic beta-lactam antibiotic originally isolated from chromobacterium violaceum. it is resistant to beta-lactamases and is used in gram-negative infections, especially of the meninges, bladder, and kidneys. it may cause a superinfection with gram-positive organisms.",d03.633.100.300.500.044|d03.383.411.350.044|d02.886.108.500.044|d02.065.589.099.500.044,preferred_label,aztreonam,d,desc,d008997,monobactams,drug name,aztreonam,c0004521,j01df,drug_name,monobactams
10221,imipenem,d,drug resisted,drug resisted; mic,d015378,"semisynthetic thienamycin that has a wide spectrum of antibacterial activity against gram-negative and gram-positive aerobic and anaerobic bacteria, including many multiresistant strains. it is stable to beta-lactamases. clinical studies have demonstrated high efficacy in the treatment of infections of various body systems. its effectiveness is enhanced when it is administered in combination with cilastatin, a renal dipeptidase inhibitor.",d02.065.589.099.124.300.500|d03.633.100.300.124.300.500,preferred_label,imipenem,d,desc,d013845,thienamycins,drug name,imipenem and cilastatin,c0071972,j01dh,drug_name,carbapenems
10221,tazobactam,c,drug resisted,drug resisted; mic,c043265,NA,NA,preferred_label,tazobactam,c,supp,d010397/q000031,penicillanic acid,drug name,tazobactam,c0075870,j01cg,drug_name,"beta-lactamase inhibitors, systemic penicillins"
10248,ciprofloxacin,NA,drug resisted,NA,d002939,a broad-spectrum antimicrobial carboxyfluoroquinoline.,d03.633.100.810.835.322.186,preferred_label,ciprofloxacin,d,desc,d024841,fluoroquinolones,drug group,ciprofloxacin,c0008809,j01ma|s03aa|s01ae|s02aa,drug_name,"fluoroquinolone antibacterials, systemic; antiinfectives; fluoroquinolone antiinfectives, ophthalmologic; antiinfectives"
10248,gentamicin,NA,drug resisted,NA,d005839,"a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.",d09.408.051.374,synonyms,gentamicins,d,desc,d000617,aminoglycosides,drug group,gentamicin,c3854019,s01aa|s02aa|d06ax|j01gb|s03aa,drug_name,"antibiotics, ophthalmologic; antiinfectives; other antibiotics for topical use in atc; other aminoglycosides in atc; antiinfectives"
10248,tobramycin,NA,drug resisted,NA,d014031,"an aminoglycoside, broad-spectrum antibiotic produced by streptomyces tenebrarius. it is effective against gram-negative bacteria, especially the pseudomonas species. it is a 10% component of the antibiotic complex, nebramycin, produced by the same species.",d09.408.051.476.600.800,preferred_label,tobramycin,d,desc,d009328,nebramycin,drug name,tobramycin,c0040341,s01aa|j01gb,drug_name,"antibiotics, ophthalmologic; other aminoglycosides in atc"
10248,amikacin,NA,drug resisted,NA,d000583,a broad-spectrum antibiotic derived from kanamycin. it is reno- and oto-toxic like the other aminoglycoside antibiotics.,d09.408.051.476.060,preferred_label,amikacin,d,desc,d007612,kanamycin,drug name,amikacin,c0002499,s01aa|d06ax|j01gb,drug_name,"antibiotics, ophthalmologic; other antibiotics for topical use in atc; other aminoglycosides in atc"
10259,tetracycline,b,drug resisted,drug resisted; mic,d013752,a naphthacene antibiotic that inhibits amino acyl trna binding during protein synthesis.,d04.615.562.900.875|d02.455.426.559.847.562.900.875,preferred_label,tetracycline,d,desc,d013754,tetracyclines,drug name,tetracycline,c0039644,s03aa|j01aa|s01aa|d06aa|s02aa|a01ab,drug_name,"antiinfectives; tetracyclines; antibiotics, ophthalmologic; tetracycline and derivatives, topical antibiotics; antiinfectives; antiinfectives and antiseptics for local oral treatment"
10259,azithromycin,a,drug resisted,drug resisted; mic,d017963,"a semi-synthetic macrolide antibiotic structurally related to erythromycin. it has been used in the treatment of mycobacterium avium intracellulare infections, toxoplasmosis, and cryptosporidiosis.",d02.540.576.500.992.050,preferred_label,azithromycin,d,desc,d004917,erythromycin,drug name,azithromycin,c0052796,s01aa|j01fa,drug_name,"antibiotics, ophthalmologic; macrolides"
10260,tetracycline,b,drug resisted,drug resisted; mic,d013752,a naphthacene antibiotic that inhibits amino acyl trna binding during protein synthesis.,d04.615.562.900.875|d02.455.426.559.847.562.900.875,preferred_label,tetracycline,d,desc,d013754,tetracyclines,drug name,tetracycline,c0039644,s03aa|j01aa|s01aa|d06aa|s02aa|a01ab,drug_name,"antiinfectives; tetracyclines; antibiotics, ophthalmologic; tetracycline and derivatives, topical antibiotics; antiinfectives; antiinfectives and antiseptics for local oral treatment"
10260,azithromycin,a,drug resisted,drug resisted; mic,d017963,"a semi-synthetic macrolide antibiotic structurally related to erythromycin. it has been used in the treatment of mycobacterium avium intracellulare infections, toxoplasmosis, and cryptosporidiosis.",d02.540.576.500.992.050,preferred_label,azithromycin,d,desc,d004917,erythromycin,drug name,azithromycin,c0052796,s01aa|j01fa,drug_name,"antibiotics, ophthalmologic; macrolides"
10300,piperacillin,a,drug resisted,drug resisted; mic,d010878,"semisynthetic, broad-spectrum, ampicillin derived ureidopenicillin antibiotic proposed for pseudomonas infections. it is also used in combination with other antibiotics.",d02.065.589.099.750.750.050.650|d03.633.100.300.750.750.050.650|d02.886.108.750.750.050.650,preferred_label,piperacillin,d,desc,d000667,ampicillin,drug name,piperacillin,c0031955,j01ca,drug_name,penicillins with extended spectrum
10300,cefepime,b,drug resisted,drug resisted; mic,c043266,NA,NA,preferred_label,cefepime,c,supp,d002511,cephalosporins,drug name,cefepime,c0055003,j01de,drug_name,fourth-generation cephalosporins
10300,czop,c,drug resisted,drug resisted; mic,c070918,NA,NA,synonyms,cefozopran,c,supp,d002511,cephalosporins,drug name,cefozopran,c0246584,j01de,drug_name,fourth-generation cephalosporins
10300,zidovudine,d,drug resisted,drug resisted; mic,d015215,"a dideoxynucleoside compound in which the 3'-hydroxy group on the sugar moiety has been replaced by an azido group. this modification prevents the formation of phosphodiester linkages which are needed for the completion of nucleic acid chains. the compound is a potent inhibitor of hiv replication, acting as a chain-terminator of viral dna during reverse transcription. it improves immunologic function, partially reverses the hiv-induced neurological dysfunction, and improves certain other clinical abnormalities associated with aids. its principal toxic effect is dose-dependent suppression of bone marrow, resulting in anemia and leukopenia.",d13.570.685.705.950|d13.570.230.500.950|d03.383.742.680.705.950|d13.570.230.855.950,preferred_label,zidovudine,d,desc,d015224|d013936,dideoxynucleosides; thymidine,drug name,zidovudine,c0043474,j05af,drug_name,nucleoside and nucleotide reverse transcriptase inhibitors
10300,gentamicin,e,drug resisted,drug resisted; mic,d005839,"a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.",d09.408.051.374,synonyms,gentamicins,d,desc,d000617,aminoglycosides,drug group,gentamicin,c3854019,s01aa|s02aa|d06ax|j01gb|s03aa,drug_name,"antibiotics, ophthalmologic; antiinfectives; other antibiotics for topical use in atc; other aminoglycosides in atc; antiinfectives"
